Date,inflation,inflation.expectations,interest,gdp.log,covid.indicator
1997Q1,5.505429209,7.515160402,14.39,9.963637983,0
1997Q2,6.547993084,6.168580775,11.12,9.984236704,0
1997Q3,5.104259477,5.474029975,11.65,10.00657517,0
1997Q4,4.600425497,5.439526817,16.82,10.02763809,0
1998Q1,7.341271949,5.898487502,15.56,10.03563926,0
1998Q2,6.967369924,6.003331712,14.61,10.05246056,0
1998Q3,5.38311503,6.0730456,23.09,10.04572096,0
1998Q4,7.300264011,6.748005229,16.73,10.01281814,0
1999Q1,3.931649949,5.895599728,8.68,10.01301007,0
1999Q2,4.529821535,5.286212631,10.76,10.01573472,0
1999Q3,0.643179169,4.101228666,6.50,10.03661053,0
1999Q4,0.451669317,2.389079992,8.28,10.06261022,0
2000Q1,3.706505693,2.332793928,9.41,10.07201367,0
2000Q2,5.31523682,2.52914775,11.93,10.07422816,0
2000Q3,0.844087344,2.579374793,7.69,10.08966736,0
2000Q4,2.210103308,3.018983291,11.36,10.10133528,0
2001Q1,2.944187238,2.828403678,5.68,10.10827839,0
2001Q2,3.0120364,2.252603573,8.91,10.11791915,0
2001Q3,2.525082798,2.672852436,5.98,10.11556543,0
2001Q4,2.877849654,2.839789023,6.59,10.12179201,0
2002Q1,1.759589533,2.543639596,5.75,10.13013148,0
2002Q2,3.019723919,2.545561476,4.34,10.13823316,0
2002Q3,0.652088361,2.077312867,3.21,10.14906763,0
2002Q4,3.057401574,2.122200846,3.01,10.16349589,0
2003Q1,3.028484237,2.439424522,2.75,10.17760639,0
2003Q2,3.915702732,2.663419226,2.74,10.18813751,0
2003Q3,-0.272121626,2.432366729,2.75,10.19470813,0
2003Q4,-0.424412339,1.561913251,2.65,10.20011969,0
2004Q1,0.413661946,0.908207678,1.78,10.22096359,0
2004Q2,1.663920213,0.345262049,1.75,10.24000529,0
2004Q3,1.188560492,0.710432578,1.80,10.26585013,0
2004Q4,0.76634492,1.008121893,2.19,10.28194256,0
2005Q1,1.69368402,1.328127411,2.65,10.28307326,0
2005Q2,3.214221098,1.715702632,3.21,10.29954448,0
2005Q3,2.366105569,2.010088902,3.69,10.3235668,0
2005Q4,2.456223379,2.432558516,4.36,10.33551841,0
2006Q1,2.588950688,2.656375183,4.59,10.34452147,0
2006Q2,5.058296054,3.117393922,4.96,10.36506689,0
2006Q3,1.480946656,2.896104194,5.23,10.37858857,0
2006Q4,1.721299098,2.712373124,5.30,10.3997122,0
2007Q1,3.370669722,2.907802883,5.08,10.40992053,0
2007Q2,5.716261255,3.072294183,5.08,10.42003621,0
2007Q3,7.70617873,4.628602201,5.45,10.42278168,0
2007Q4,6.570834458,5.840986041,5.81,10.4414046,0
2008Q1,5.450801057,6.361018875,6.22,10.4622585,0
2008Q2,9.765603796,7.37335451,6.39,10.46324521,0
2008Q3,6.626679897,7.103479802,7.58,10.4550629,0
2008Q4,7.478990595,7.330518836,8.24,10.44700004,0
2009Q1,5.557285013,7.357139825,5.49,10.44212452,0
2009Q2,3.24349426,5.726612441,1.40,10.43628391,0
2009Q3,-1.185448831,3.773580259,0.46,10.44817684,0
2009Q4,-0.272675377,1.835663766,0.43,10.46040205,0
2010Q1,-0.001768907,0.445900286,0.43,10.46363182,0
2010Q2,1.04749171,-0.103100351,0.51,10.49700293,0
2010Q3,1.43456045,0.551901969,1.76,10.52020548,0
2010Q4,1.364543487,0.961206685,2.91,10.5320339,0
2011Q1,1.67907563,1.381417819,3.44,10.54362304,0
2011Q2,3.659283365,2.034365733,4.74,10.55788884,0
2011Q3,1.511501057,2.053600885,5.25,10.56428225,0
2011Q4,2.383988043,2.308462024,5.24,10.5857977,0
2012Q1,4.278402005,2.958293617,5.01,10.60614248,0
2012Q2,2.899864821,2.768438981,5.01,10.62450812,0
2012Q3,1.120952895,2.670801941,4.99,10.63224943,0
2012Q4,2.460648288,2.689967002,5.01,10.63816824,0
2013Q1,2.780529099,2.315498776,5.00,10.64650319,0
2013Q2,2.639032941,2.250290806,5.01,10.65337036,0
2013Q3,1.42724827,2.326864649,5.01,10.66104081,0
2013Q4,3.982577323,2.707346908,4.68,10.66523521,0
2014Q1,4.602213348,3.16276797,4.33,10.66713915,0
2014Q2,7.832695638,4.461183645,4.00,10.67381549,0
2014Q3,2.649804957,4.766822817,3.62,10.67040779,0
2014Q4,4.894924532,4.994909619,3.05,10.68299142,0
2015Q1,5.079410054,5.114208795,3.00,10.6879906,0
2015Q2,7.434908428,5.014761993,3.00,10.69656702,0
2015Q3,4.167782169,5.394256296,3.00,10.69323106,0
2015Q4,4.349811395,5.257978012,3.24,10.70197425,0
2016Q1,4.021084367,4.99339659,3.50,10.71183411,0
2016Q2,5.468763106,4.501860259,3.50,10.70629502,0
2016Q3,2.186185306,4.006461044,3.50,10.71306059,0
