Date;inflation
01/1996;1.50
02/1996;1.42
03/1996;0.59
04/1996;1.31
05/1996;1.21
06/1996;0.78
07/1996;0.76
08/1996;0.53
09/1996;0.28
10/1996;0.55
11/1996;0.58
12/1996;0.57
01/1997;0.70
02/1997;0.58
03/1997;0.57
04/1997;0.63
05/1997;0.41
06/1997;0.32
07/1997;0.45
08/1997;0.29
09/1997;0.33
10/1997;0.33
11/1997;0.45
12/1997;0.39
01/1998;0.45
02/1998;0.21
03/1998;0.27
04/1998;0.37
05/1998;0.24
06/1998;0.19
07/1998;0.13
08/1998;0.00
09/1998;-0.04
10/1998;0.16
11/1998;-0.05
12/1998;0.22
01/1999;0.34
02/1999;1.02
03/1999;0.54
04/1999;0.36
05/1999;0.27
06/1999;0.26
07/1999;0.48
08/1999;0.38
09/1999;0.22
10/1999;0.47
11/1999;0.53
12/1999;0.50
01/2000;0.45
02/2000;0.17
03/2000;0.24
04/2000;0.26
05/2000;0.39
06/2000;0.16
07/2000;0.74
08/2000;0.27
09/2000;0.13
10/2000;0.21
11/2000;0.35
12/2000;0.50
01/2001;0.44
02/2001;0.36
03/2001;0.53
04/2001;0.64
05/2001;0.52
06/2001;0.56
07/2001;0.70
08/2001;0.59
09/2001;0.50
10/2001;0.56
11/2001;0.77
12/2001;0.71
01/2002;0.73
02/2002;0.44
03/2002;0.50
04/2002;0.46
05/2002;0.36
06/2002;0.41
07/2002;0.40
08/2002;0.65
09/2002;0.67
10/2002;0.97
11/2002;1.46
12/2002;1.39
01/2003;1.32
02/2003;0.93
03/2003;1.07
04/2003;1.20
05/2003;1.05
06/2003;0.74
07/2003;0.53
08/2003;0.45
09/2003;0.67
10/2003;0.50
11/2003;0.36
12/2003;0.46
01/2004;0.65
02/2004;0.46
03/2004;0.53
04/2004;0.53
05/2004;0.57
06/2004;0.50
07/2004;0.36
08/2004;0.42
09/2004;0.38
10/2004;0.43
11/2004;0.41
12/2004;0.48
01/2005;0.61
02/2005;0.36
03/2005;0.49
04/2005;0.65
05/2005;0.73
06/2005;0.42
07/2005;0.30
08/2005;0.07
09/2005;0.29
10/2005;0.37
11/2005;0.31
12/2005;0.36
01/2006;0.44
02/2006;0.29
03/2006;0.25
04/2006;0.32
05/2006;0.22
06/2006;0.04
07/2006;0.11
08/2006;0.13
09/2006;0.24
10/2006;0.17
11/2006;0.26
12/2006;0.31
01/2007;0.26
02/2007;0.16
03/2007;0.27
04/2007;0.32
05/2007;0.30
06/2007;0.34
07/2007;0.26
08/2007;0.37
09/2007;0.24
10/2007;0.24
11/2007;0.25
12/2007;0.25
01/2008;0.36
02/2008;0.15
03/2008;0.31
04/2008;0.38
05/2008;0.44
06/2008;0.44
07/2008;0.30
08/2008;0.30
09/2008;0.22
10/2008;0.31
11/2008;0.45
12/2008;0.34
01/2009;0.35
02/2009;0.33
03/2009;0.39
04/2009;0.36
05/2009;0.37
06/2009;0.23
07/2009;0.29
08/2009;0.19
09/2009;0.28
10/2009;0.27
11/2009;0.25
12/2009;0.33
01/2010;0.47
02/2010;0.41
03/2010;0.42
04/2010;0.47
05/2010;0.47
06/2010;0.37
07/2010;0.28
08/2010;0.26
09/2010;0.52
10/2010;0.41
11/2010;0.43
12/2010;0.55
01/2011;0.41
02/2011;0.32
03/2011;0.43
04/2011;0.55
05/2011;0.48
06/2011;0.40
07/2011;0.29
08/2011;0.46
09/2011;0.53
10/2011;0.43
11/2011;0.46
12/2011;0.62
01/2012;0.37
02/2012;0.34
03/2012;0.48
