Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1961-01-01,3.52153981754598,3.54962135916111,-0.02802456536643,-2.80426480591518,-1.79722761556125,,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
1961-04-01,3.52780803086487,3.5551261228022,-0.0272610273296886,-2.00802068084033,-1.7524836841395,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,,,,
1961-07-01,3.68230133555335,3.70444933915438,-0.0220885421527527,-1.17643576582975,-1.95039872955218,,,0.938444861013731,-0.10744721597889,-0.161615992861037,0.718898831027069,0.025,0.820625970505466,0.899842726028296,0.534633965034336,0,0.999983948640451,1.28270447946042,1.04066416290804,1,0.830997645034841,,,,,,
1961-10-01,3.86580951950556,3.88420105237266,-0.0183291861594388,-0.442472632823296,-2.04451401527205,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,3.97039110439698,3.98413771970337,-0.013682664479362,0.185620114546055,-2.35030837234098,,,,,,,,,,,,,,,,,,,,,,
1962-04-01,3.80641644608478,3.82498881122875,-0.0185109688732804,0.412313697526201,-2.24395856233346,,,,,,,,,,,,,,,,,,,,,,
1962-07-01,3.79861274299318,3.81835985075423,-0.0196858178942026,0.688800551679265,-2.12874236733652,,,,,,,,,,,,,,,,,,,,,,
1962-10-01,3.56632579415812,3.59732109743443,-0.0309375613819594,0.59336640104334,-1.84414931582085,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,3.57109467503193,3.59968816346429,-0.0285357085433807,0.782903052849861,-1.80930870195846,,,,,,,,,,,,,,,,,,,,,,
1963-04-01,3.57860073784795,3.60550815737705,-0.0268495462213027,0.987903423729904,-1.81000257059224,,,,,,,,,,,,,,,,,,,,,,
1963-07-01,3.81440954486314,3.83141365769109,-0.0169426134297433,1.57966366246114,-1.68958700422683,,,,,,,,,,,,,,,,,,,,,,
1963-10-01,3.7286846449174,3.74533921457229,-0.0165944518685199,1.56336878095055,-1.81510080286129,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,3.94612298571092,3.95535387790885,-0.00916740339069635,2.00835571414018,-2.1263876766142,,,,,,,,,,,,,,,,,,,,,,
1964-04-01,3.94581369307281,3.96045319693713,-0.0145759332060743,2.06763563544314,-2.0433407978072,,,,,,,,,,,,,,,,,,,,,,
1964-07-01,4.04218655910789,4.05581782105662,-0.0135661605586245,2.27676526126459,-2.03135725308484,,,,,,,,,,,,,,,,,,,,,,
1964-10-01,3.92258386663351,3.94434479598235,-0.0216976172523323,1.97355842783975,-1.47578299494418,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,4.17360221396367,4.18083262962639,-0.00716330761496753,2.49548540590786,-1.40950385479273,,,,,,,,,,,,,,,,,,,,,,
1965-04-01,4.21603990025562,4.22429758820393,-0.0081898822288842,2.52998135842483,-1.36288685906783,,,,,,,,,,,,,,,,,,,,,,
1965-07-01,4.42323191412338,4.42389059333554,-0.000587669753635196,2.8842369619889,-1.60562251882391,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
1965-10-01,4.62635074998992,4.61866776075731,0.00775712512947816,3.27700756860008,-1.79639428406527,,,lambda_g,0.064065069203315,,,-692.913582416363,,,,,,,,,,,,,,,
1966-01-01,4.8489029644756,4.82336075237854,0.025619633594738,3.71986416290474,-1.7508637709803,,,lambda_z,0.0333549911998524,,,,,,,,,,,,,,,,,,
1966-04-01,4.77221529507698,4.72755698225336,0.0447341965405415,3.30321907468317,-1.8328322816834,,,,,,,,,,,,,,,,,,,,,,
1966-07-01,4.77947604680427,4.72692888368472,0.052623036754626,2.98569118572232,-1.86738439077197,,,,,,,,,,,,,,,,,,,,,,
1966-10-01,4.7671517388861,4.70807127167549,0.0591560381553777,2.71640970709257,-2.24298737660642,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1967-01-01,4.7308069414152,4.69451331929119,0.0363689754452102,2.42877684637995,-2.9969571677534,,,Initial State Vector,,,,,,,,,,,,,,,,,,,
1967-04-01,4.57570829618074,4.5431398827517,0.0326413370007879,1.96188980315401,-3.52719962885399,,,818.324116625389,817.163326124599,816.002630016164,1.16079050078959,1.16069610843574,1.16064889931256,0,0,0,,,,,,,,,,,
1967-07-01,4.54782367446365,4.49961756892795,0.0482783305151317,1.98975691063936,-3.68107137182624,,,,,,,,,,,,,,,,,,,,,,
1967-10-01,4.47276787409551,4.41453890008995,0.0582998333566822,2.00700396315267,-3.47507271376782,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1968-01-01,4.58660430860736,4.50661928295027,0.0800573630235507,2.56477353742787,-3.57704168679624,,,0.689906701278987,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
