Date,rstar,g,z,output gap,real rate gap,fed results,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/1961,5.160948108,5.088804038,0.008119973,-3.962249495,-3.436635906,5.468562629,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/1961,5.442661869,5.358633215,0.016609738,-3.788839253,-3.667337522,5.695237634,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,,,,
7/1/1961,5.346786936,5.260951019,0.019645975,-3.062237184,-3.61488433,5.598410609,,1.46323692,-0.529516853,-0.060908378,0.693068019,0.091037149,0.425905318,0.832388411,0.522452827,-0.113049902,1.012581364,7.988103809,1.55879202,1.938369682,0.933720067,,,,,,
10/1/1961,5.300402989,5.218471317,0.016276184,-2.389145167,-3.479107485,5.564850946,,,,,,,,,,,,,,,,,,,,,
1/1/1962,5.085482499,5.004021714,0.018503365,-1.508508047,-3.465399767,5.373550434,,,,,,,,,,,,,,,,,,,,,
4/1/1962,4.556808658,4.48940637,0.010919431,-0.817989944,-2.994350774,4.836682097,,,,,,,,,,,,,,,,,,,,,
7/1/1962,4.443737191,4.381404823,0.007208318,-0.486388413,-2.773866815,4.724644037,,,,,,,,,,,,,,,,,,,,,
10/1/1962,4.023276233,3.982638253,-0.009469042,-0.319221641,-2.301099755,4.27379954,,,,,,,,,,,,,,,,,,,,,
1/1/1963,4.004341447,3.957872748,-0.00332674,-0.128534579,-2.242555474,4.258196005,,,,,,,,,,,,,,,,,,,,,
4/1/1963,3.972832916,3.923101474,0.000373473,0.120281343,-2.204234749,4.225529538,,,,,,,,,,,,,,,,,,,,,
7/1/1963,4.268779763,4.20564369,0.010223338,0.459534712,-2.143957222,4.55195115,,,,,,,,,0.99551212,,,,,,,,,,,,
10/1/1963,4.0182751,3.954931045,0.013585627,0.925038655,-2.104691258,4.282235465,,,,,,,,,,,,,,,,,,,,,
1/1/1964,4.287086715,4.217048667,0.016981823,1.104804969,-2.467351406,4.585086376,,,,,,,,,,,,,,,,,,,,,
4/1/1964,4.213510966,4.161130088,2.82E-05,1.268721687,-2.31103807,4.502513095,,,,,,,,,,,,,,,,,,,,,
7/1/1964,4.298492502,4.251535686,-0.006533303,1.399690665,-2.287663196,4.601071646,,,,,,,,,,,,,,,,,,,,,
10/1/1964,4.076740625,4.049986128,-0.024199855,1.385714776,-1.629939753,4.348929825,,,,,,,,,,,,,,,,,,,,,
1/1/1965,4.40035217,4.350319828,-0.004700617,1.590500672,-1.63625381,4.725019595,,,,,,,,,,,,,,,,,,,,,
4/1/1965,4.374295597,4.334149469,-0.014383386,1.789682141,-1.521142556,4.696381588,,,,,,,,,,,,,,,,,,,,,
7/1/1965,4.584818092,4.538352951,-0.01063353,2.018839334,-1.767208697,4.947055757,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/1965,4.764039122,4.710756481,-0.005985102,2.401198296,-1.934082656,5.161980728,,lambda_g,0.053297682,,,-613.9152424,,,,,,,,,,,,,,,
1/1/1966,4.951435129,4.87165129,0.01849182,2.977221932,-1.853395936,5.388062843,,lambda_z,0.017443841,,,,,,,,,,,,,,,,,,
4/1/1966,4.735460506,4.625826972,0.05143432,3.374510881,-1.796077493,5.131316453,,,,,,,,,,,,,,,,,,,,,
7/1/1966,4.723092413,4.604216452,0.060948637,3.198413554,-1.811000757,5.116349992,,,,,,,,,,,,,,,,,,,,,
