Date,rstar,g,z,output gap,real rate gap,fed_results,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/1962,6.399866241,4.541564362,-0.000697604,-1.058966654,-4.298244358,5.373550434,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/1962,5.351349195,3.806420956,-0.013154841,-0.476809492,-3.696144861,4.836682097,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,,,,
7/1/1962,5.247863719,3.733870295,-0.014392479,-0.104936626,-3.473099336,4.724644037,,1.609215495,-0.662807899,-0.018898157,0.481813654,0.133640341,0.388103157,2.269934958,-0.57278836,0,1.409330207,16.04988977,1.477920523,1.820827349,0.946407596,,,,,,
10/1/1962,4.289266813,3.06870323,-0.035549347,0.355474585,-2.623587822,4.27379954,,,,,,,,,,,,,,,,,,,,,
1/1/1963,4.593113293,3.28017792,-0.029740536,0.272575359,-2.81429984,4.258196005,,,,,,,,,,,,,,,,,,,,,
4/1/1963,4.727718587,3.371802213,-0.024264124,0.378381819,-2.832697754,4.225529538,,,,,,,,,,,,,,,,,,,,,
7/1/1963,5.578406188,3.948653938,0.013448913,0.357672591,-3.375955576,4.55195115,,,,,,,,,,,,,,,,,,,,,
10/1/1963,5.068517424,3.602867622,-0.009112749,0.930576387,-2.996042432,4.282235465,,,,,,,,,,,,,0.956803639,,,,,,,,
1/1/1964,5.742286534,4.058864746,0.022005839,0.801458016,-3.776900412,4.585086376,,,,,,,,,,,,,,,,,,,,,
4/1/1964,5.609126447,3.975454567,0.006398236,1.115691586,-3.421579702,4.502513095,,,,,,,,,,,,,,,,,,,,,
7/1/1964,5.793113211,4.093704063,0.023732415,1.283793721,-3.489058704,4.601071646,,,,,,,,,,,,,,,,,,,,,
10/1/1964,5.365737085,3.815513981,-0.011582025,1.56419038,-2.741313726,4.348929825,,,,,,,,,,,,,,,,,,,,,
1/1/1965,6.051443463,4.264145525,0.041854366,1.277723698,-3.15469268,4.725019595,,,,,,,,,,,,,,,,,,,,,
4/1/1965,5.98648011,4.207493655,0.056732204,1.725401425,-3.633824915,4.696381588,,,,,,,,,,,,,,,,,,,,,
7/1/1965,6.380099516,4.464077845,0.08873976,1.762353825,-4.023377915,4.947055757,,,,,,,,,,,,,,,,,,,,,
10/1/1965,6.687723015,4.660744304,0.119195278,2.033151632,-4.342174442,5.161980728,,,,,,,,,,,,,,,,,,,,,
1/1/1966,6.97611336,4.831857352,0.166430836,2.478961473,-4.766084215,5.388062843,,,,,,,,,,,,,,,,,,,,,
4/1/1966,6.544114396,4.544448474,0.139485886,3.063010452,-4.392188053,5.131316453,,,,,,,,,,,,,,,,,,,,,
7/1/1966,6.489617575,4.51091671,0.132246392,2.942935145,-4.355423224,5.116349992,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/1966,6.454789263,4.49595393,0.118505578,2.70319413,-4.56987393,5.096088036,,lambda_g,0.028674947,,,-855.9071471,,,,,,,,,,,,,,,
1/1/1967,6.436717389,4.530479525,0.05177574,2.204800432,-4.649829453,5.063066113,,lambda_z,0.019905377,,,,,,,,,,,,,,,,,,
4/1/1967,6.189270504,4.372040896,0.0276212,2.057742375,-4.888405709,4.842518473,,,,,,,,,,,,,,,,,,,,,
7/1/1967,6.251579038,4.401656142,0.048192074,1.740665463,-5.022488822,4.86524626,,,,,,,,,,,,,,,,,,,,,
10/1/1967,6.212378753,4.372262652,0.050416922,1.579145079,-4.783680997,4.796853284,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/1968,6.509153488,4.520836689,0.13780178,1.602868032,-5.566923713,5.016866998,,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/1968,6.591089648,4.574852867,0.143611308,1.772517939,-4.624923213,5.078479119,,823.1327518,821.9814992,820.8299441,1.151252637,1.151555072,1.15166081,0,0,0,,,,,,,,,,,
7/1/1968,6.465615871,4.481231325,0.150081197,2.045931943,-4.999171129,4.94536228,,,,,,,,,,,,,,,,,,,,,
10/1/1968,6.290278687,4.388619488,0.105264674,1.93570365,-5.108808851,4.794062551,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/1969,6.44636617,4.476625682,0.137322369,1.782297252,-4.657056442,4.919216167,,0.731510014,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/1969,6.283808907,4.35190472,0.150538125,1.885810531,-3.462443284,4.730280359,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/1969,6.23208994,4.32676534,0.134248846,1.632425538,-2.871385534,4.684905568,,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/1969,5.929559453,4.160189672,0.06647848,1.281900358,-2.923854835,4.41042971,,0.2,0,0,0.200272585,0.2,0,0,0,0,,,,,,,,,,,
1/1/1970,5.763548108,4.082158523,0.01043879,0.660279796,-3.237982024,4.269062326,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/1970,5.69990912,4.028656036,0.022202472,0.20752433,-3.85286274,4.19466209,,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
7/1/1970,5.713534187,4.073986593,-0.028058184,-0.272344895,-4.690838521,4.254491104,,0,0,0,0,0,0,0.359271573,0.2,0,,,,,,,,,,,
10/1/1970,5.291823352,3.840050721,-0.120076128,-0.534601989,-5.328261633,3.85362523,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
1/1/1971,5.674937249,4.101942109,-0.106053674,-0.946975474,-6.827365838,4.312064371,,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
4/1/1971,5.489625478,3.999840331,-0.147470326,-0.61128287,-5.327125262,4.068674531,,,,,,,,,,,,,,,,,,,,,
7/1/1971,5.413041344,3.95817767,-0.165338014,-0.453124015,-4.291690216,3.927057486,,,,,,,,,,,,,,,,,,,,,
10/1/1971,5.150587924,3.87650964,-0.312694211,-0.596136027,-3.856723378,3.635447721,,,,,,,,,,,,,,,,,,,,,
1/1/1972,5.329436461,3.969413896,-0.264778449,-0.513977232,-5.213063151,3.853965404,,,,,,,,,,,,,,,,,,,,,
4/1/1972,5.518967514,4.067101216,-0.212921087,-0.07910089,-4.36298571,4.005960782,,,,,,,,,,,,,,,,,,,,,
7/1/1972,5.421798313,3.99745853,-0.211940747,0.451444965,-3.70616019,3.875401561,,,,,,,,,,,,,,,,,,,,,
10/1/1972,5.522408479,4.035990403,-0.165634713,0.797392042,-3.875291011,3.962938163,,,,,,,,,,,,,,,,,,,,,
1/1/1973,5.803671714,4.142419704,-0.034365507,1.355619233,-3.30796273,4.234867624,,,,,,,,,,,,,,,,,,,,,
4/1/1973,5.915091239,4.067206811,0.183053819,2.182974766,-3.650530987,4.295627444,,,,,,,,,,,,,,,,,,,,,
7/1/1973,5.670902278,3.883194539,0.198198913,2.302469242,-1.963290859,4.004744656,,,,,,,,,,,,,,,,,,,,,
10/1/1973,5.817978452,3.909401647,0.308340618,2.092475879,-4.091541883,4.188993899,,,,,,,,,,,,,,,,,,,,,
1/1/1974,5.634096314,3.731815246,0.374736358,1.903197273,-6.254054659,3.967058993,,,,,,,,,,,,,,,,,,,,,
4/1/1974,5.655923321,3.712609525,0.423630569,1.407145683,-4.967298278,4.154678341,,,,,,,,,,,,,,,,,,,,,
7/1/1974,5.438407747,3.557361148,0.424911222,0.962411435,-4.795748535,3.995143267,,,,,,,,,,,,,,,,,,,,,
10/1/1974,5.335624961,3.487361722,0.420780742,0.331392865,-8.190104832,3.867329302,,,,,,,,,,,,,,,,,,,,,
1/1/1975,4.772762986,3.36154243,0.035239696,-0.770720323,-9.577882101,3.4138985,,,,,,,,,,,,,,,,,,,,,
4/1/1975,4.658913261,3.420984256,-0.16238319,-1.546481796,-8.961561512,3.325819814,,,,,,,,,,,,,,,,,,,,,
7/1/1975,4.836309489,3.49713181,-0.09230401,-1.388931853,-7.435164903,3.375428701,,,,,,,,,,,,,,,,,,,,,
