Date,rstar,g,z,output gap,real rate gap,inflation,interest,nominal,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/2000,6.881545114,3.123823941,-0.003798251,2.15549398,7.183781448,4.707843655,18.98351648,11.58938877,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/2000,8.583872314,3.887558231,0.015152125,2.350553587,5.443132855,3.206326052,18.39010989,11.79019837,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/2000,9.448241814,4.271633683,0.032965797,2.366174323,2.706350539,4.902542984,16.65217391,14.3507848,0.848740409,0.021168096,-0.059290305,0.875532523,0.07132619,1.424298303,1.546952988,0.976167308,0,2.20413938,0.869908505,,,,,,,,,
10/1/2000,9.801154043,4.430825704,0.034996622,1.847222885,2.60659658,3.193589167,16.41032609,12.99474321,,,,,,,,,,,,,,,,,,,,
1/1/2001,9.413540854,4.255711869,0.033358733,1.45975006,1.822417194,5.353709605,15.4,14.76725046,,,,,,,,,,,,,,Correlation,,,,,,
4/1/2001,9.035621089,4.085261722,0.031134849,1.101952569,2.429133711,6.79004014,16.52472527,15.82566123,,,,,,,,,,,,,,"r*, inflation",0.044911429,,,,,
7/1/2001,6.689828687,3.054650294,-0.043046317,-0.618300748,6.46959157,7.470632234,18.86141304,14.16046092,,,,,,,,,,,,,,"r*, interest",0.325568545,,,,,
10/1/2001,6.790707162,3.09655479,-0.034531193,-0.66947334,5.401617589,7.616319018,19,14.40702618,,,,,,,,,,,,,,"r* + inflation,interest",0.57338518,,,,,
1/1/2002,7.773284816,3.521574473,0.011243841,-0.154674595,3.630963921,7.950458102,18.86111111,15.72374292,,,,,,,,,,,,,,,,,,,,
4/1/2002,7.91315979,3.597667318,-0.016600422,-0.66996285,3.478861237,5.394506536,18.5,13.30766633,,,,,,,,,,,,,,,,,,,,
7/1/2002,6.901943452,3.156938325,-0.056388632,-1.485710143,4.460186816,5.959760491,18.0923913,12.86170394,,,,,,,,,,,,,,,,,,,,
10/1/2002,6.175934536,2.784858374,0.037718526,-0.980343492,7.157878962,13.01219479,21.41304348,19.18812933,,,,,,,,,,,,,,,,,,,,
1/1/2003,6.234600727,2.775397001,0.117238901,-0.570069159,9.527498668,15.87402949,25.82222222,22.10863022,,,,,,,,,,,,,,,,,,,,
4/1/2003,5.504153759,2.474672107,0.049631514,-1.779773183,8.864086466,13.43929608,26.43956044,18.94344984,,,,,,,,,,,,,,,,,,,,
7/1/2003,5.502852894,2.534471892,-0.083476411,-2.900893554,5.432271045,7.847027354,23.47826087,13.34988025,,,,,,,,,,,,,,,,,,,,
10/1/2003,5.631519914,2.619174755,-0.141506307,-3.192773126,1.949881558,6.122736834,18.40217391,11.75425675,,,,,,,,,,,,,,,,,,,,
1/1/2004,5.169768137,2.423350101,-0.171633253,-3.406072205,2.833996606,6.422034604,16.46153846,11.59180274,,,,,,,,,,,,,,,,,,,,
4/1/2004,5.748447702,2.673144913,-0.143536269,-2.638955382,3.561822698,6.520965763,16.03846154,12.26941346,,,,,,,,,,,,,,,,,,,,
7/1/2004,6.289824213,2.924768672,-0.156773596,-2.212995531,3.664074424,5.28171173,16.04076087,11.57153594,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2004,7.07090513,3.264274518,-0.124010883,-1.517861609,4.054160363,5.144591148,16.9673913,12.21549628,lambda_g,0.09795591,,,-369.1999177,,,,,,,,,,,,,,,
1/1/2005,6.609898712,3.048085942,-0.108507547,-1.799157711,6.10988393,6.040267454,18.46666667,12.65016617,lambda_z,0.023001528,,,,,,,,,,,,,,,,,,
4/1/2005,6.538615825,2.991762856,-0.055646501,-1.740188705,7.128801603,7.116507209,19.56318681,13.65512303,,,,,,,,,,,,,,,,,,,,
7/1/2005,6.936017787,3.225841605,-0.174186728,-1.990037429,7.212760309,3.929608762,19.70652174,10.86562655,,,,,,,,,,,,,,,,,,,,
10/1/2005,7.306972556,3.394444542,-0.174856333,-1.89528239,6.296857645,3.715687075,18.80434783,11.02265963,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/2006,7.633937894,3.52408904,-0.133645539,-1.702424111,4.803311806,4.32253149,17.20833333,11.95646938,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/2006,7.822981485,3.638752909,-0.197337096,-1.826460828,4.165319927,3.013032957,15.73351648,10.83601444,2548.746484,2547.905692,2547.065156,0.840792705,0.840535699,0.840441064,0,0,0,,,,,,,,,,,
7/1/2006,7.839325201,3.686397408,-0.286008497,-2.047924119,3.70337617,1.517073429,14.68478261,9.35639863,,,,,,,,,,,,,,,,,,,,
10/1/2006,8.105767417,3.773758241,-0.212121733,-1.655623823,2.697073612,2.631650181,13.67391304,10.7374176,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/2007,8.836089433,4.076690759,-0.14950521,-0.950069724,1.613230903,3.04096209,13,11.87705152,1.361907907,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2007,8.870046621,4.071554217,-0.104226367,-0.840224815,0.874887935,3.522883769,12.42307692,12.39293039,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/2007,8.687878272,3.979272621,-0.082993216,-0.904129761,-0.385579366,3.714873552,11.5298913,12.40275182,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/2007,9.502992822,4.349423111,-0.083741937,-0.173635874,-1.606931176,3.137034005,11.25,12.64002683,0.2,0,0,0.209229853,0.2,0,0,0,0,,,,,,,,,,,
1/1/2008,9.578020817,4.377075544,-0.06966376,-0.013334909,-1.747168607,3.301799833,11.25,12.87982065,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2008,10.00532575,4.523426212,0.035063904,0.585114927,-1.837342276,4.394138934,11.80494505,14.39946468,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
7/1/2008,10.32117533,4.668428354,0.031308557,0.857192098,-1.085724002,4.127395813,12.97554348,14.44857115,0,0,0,0,0,0,0.493301849,0.2,0,,,,,,,,,,,
10/1/2008,9.000358966,4.098416833,-0.033122972,-0.301596305,0.806158184,3.950596821,13.75,12.95095579,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
1/1/2009,9.064758268,4.10719511,0.011927783,-0.141183151,-0.6308521,4.392243761,12.65,13.45700203,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
4/1/2009,9.776664505,4.420987009,0.03219294,0.463579756,-3.608082316,4.294995289,10.35989011,14.07165979,,,,,,,,,,,,,,,,,,,,
7/1/2009,10.22322308,4.666245306,-0.061831957,0.766285382,-5.311060686,3.19177543,8.869565217,13.41499851,,,,,,,,,,,,,,,,,,,,
10/1/2009,9.922985169,4.541284865,-0.086639638,0.657438722,-4.951224802,3.23394405,8.75,13.15692922,,,,,,,,,,,,,,,,,,,,
1/1/2010,10.17430739,4.580988243,0.077170802,1.262403792,-5.317535062,4.85219593,8.75,15.02650332,,,,,,,,,,,,,,,,,,,,
