Date,rstar,g,z,output gap,real rate gap,,interest,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/2000,3.048656803,3.113300884,-0.064563693,2.114978502,11.01666976,4.707843655,18.98351648,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/2000,3.781308441,3.539828636,0.241571206,2.970254998,10.24569673,3.206326052,18.39010989,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/2000,4.316622589,3.759229366,0.557490288,3.371069084,7.837969765,4.902542984,16.65217391,0.958348472,-0.031608206,-0.017217659,0.877385792,0.025,1.831028468,1.567028719,0.68717097,0,0.999974179,0.926740267,,,,,,,,,
10/1/2000,4.561894763,3.880725881,0.681269085,3.144606759,7.84585586,3.193589167,16.41032609,,,,,,,,,,,,,,,,,,,,
1/1/2001,4.313008433,3.754790483,0.558314902,2.688795892,6.922949615,5.353709605,15.4,,,,,,,,,,,,,,,,,,,,
4/1/2001,4.047697189,3.633139173,0.414651826,2.256918318,7.417057612,6.79004014,16.52472527,,,,,,,,,,,,,,,,,,,,
7/1/2001,0.926399345,2.797562146,-1.871090566,0.084942427,12.23302091,7.470632234,18.86141304,,,,,,,,,,,0.342447511,,,,,,,,,
10/1/2001,1.28746614,2.865406026,-1.577865899,0.004546463,10.90485861,7.616319018,19,,,,,,,,,,,0.233971138,,,,,,,,,
1/1/2002,2.98681965,3.218688576,-0.231785817,0.69878619,8.417429088,7.950458102,18.86111111,,,,,,,,,,,,,,,,,,,,
4/1/2002,2.915969968,3.333571845,-0.417515802,0.302589538,8.476051059,5.394506536,18.5,,,,,,,,,,,,,,,,,,,,
7/1/2002,1.175819037,2.975819096,-1.799923221,-0.6040518,10.18631123,5.959760491,18.0923913,,,,,,,,,,,,,,,,,,,,
10/1/2002,1.143528405,2.533141962,-1.389548149,-0.210016706,12.19028509,13.01219479,21.41304348,,,,,,,,,,,,,,,,,,,,
1/1/2003,2.038444076,2.442732274,-0.404225125,0.254921854,13.72365532,15.87402949,25.82222222,,,,,,,,,,,,,,,,,,,,
4/1/2003,0.089684458,2.215426063,-2.125684402,-0.854748434,14.27855577,13.43929608,26.43956044,,,,,,,,,,,,,,,,,,,,
7/1/2003,-1.250547732,2.41545052,-3.665935883,-2.059688041,12.18567167,7.847027354,23.47826087,,,,,,,,,,,,,,,,,,,,
10/1/2003,-1.566027666,2.57162844,-4.137589705,-2.480264938,9.147429139,6.122736834,18.40217391,,,,,,,,,,,,,,,,,,,,
1/1/2004,-2.472644245,2.464307947,-4.936888562,-2.840548566,10.47640899,6.422034604,16.46153846,,,,,,,,,,,,,,,,,,,,
4/1/2004,-0.980301166,2.712585799,-3.692816925,-2.308491666,10.29057157,6.520965763,16.03846154,,,,,,,,,,,,,,,,,,,,
7/1/2004,-0.159911807,2.962904766,-3.122740069,-2.065748971,10.11381044,5.28171173,16.04076087,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2004,1.505859114,3.237715952,-1.731773238,-1.475575451,9.619206379,5.144591148,16.9673913,lambda_g,0.113320976,,,-370.7655943,,,,,,,,,,,,,,,
1/1/2005,0.837851727,3.044041384,-2.206111058,-1.659558813,11.88193092,6.040267454,18.46666667,lambda_z,0.052222515,,,,,,,,,,,,,,,,,,
4/1/2005,1.282928334,2.968019156,-1.685014185,-1.529326326,12.38448909,7.116507209,19.56318681,,,,,,,,,,,,,,,,,,,,
7/1/2005,0.523431307,3.23488793,-2.711373095,-2.055321256,13.62534679,3.929608762,19.70652174,,,,,,,,,,,,,,,,,,,,
10/1/2005,0.969731537,3.357715198,-2.387896962,-1.976573019,12.63409866,3.715687075,18.80434783,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/2006,1.842498423,3.425458959,-1.582872089,-1.711063751,10.59475128,4.32253149,17.20833333,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/2006,1.343026347,3.553344833,-2.210226737,-1.984485396,10.64527507,3.013032957,15.73351648,2548.746484,2547.905692,2547.065156,0.840792705,0.840535699,0.840441064,0,0,0,,,,,,,,,,,
7/1/2006,0.309004694,3.649482996,-3.34038407,-2.422628419,11.23369668,1.517073429,14.68478261,,,,,,,,,,,,,,,,,,,,
10/1/2006,1.599031097,3.686408897,-2.087282615,-1.96101198,9.203809932,2.631650181,13.67391304,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/2007,3.519410806,3.892283173,-0.372771864,-1.268893738,6.929909529,3.04096209,13,0.871707487,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2007,4.106855669,3.87046264,0.236492967,-1.045000735,5.638078887,3.522883769,12.42307692,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/2007,4.14384193,3.808634154,0.335306117,-1.061563143,4.158456976,3.714873552,11.5298913,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/2007,5.551395393,4.107743874,1.443757583,-0.544752069,2.344666253,3.137034005,11.25,0.2,0,0,0.206057499,0.2,0,0,0,0,,,,,,,,,,,
1/1/2008,5.931758048,4.13431518,1.797549619,-0.360945389,1.899094162,3.301799833,11.25,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2008,8.041563446,4.214389004,3.82728326,0.380541435,0.126420028,4.394138934,11.80494505,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
7/1/2008,8.627726522,4.335817841,4.292020635,0.608121777,0.60772481,4.127395813,12.97554348,0,0,0,0,0,0,26.7421256,0.2,0,,,,,,,,,,,
10/1/2008,5.924409427,3.960317575,1.964194111,-0.431938132,3.882107723,3.950596821,13.75,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
1/1/2009,6.741408124,3.973928042,2.767582691,-0.259322677,1.692498044,4.392243761,12.65,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
4/1/2009,8.132292744,4.201086451,3.931314768,0.261047479,-1.963710555,4.294995289,10.35989011,,,,,,,,,,,,,,,,,,,,
7/1/2009,7.748214801,4.427279156,3.321049961,0.25964662,-2.836052409,3.19177543,8.869565217,,,,,,,,,,,,,,,,,,,,
10/1/2009,7.213779948,4.36897186,2.844920899,0.114728613,-2.242019581,3.23394405,8.75,,,,,,,,,,,,,,,,,,,,
1/1/2010,9.926060369,4.363467653,5.562705384,1.004099782,-5.069288044,4.85219593,8.75,,,,,,,,,,,,,,,,,,,,
4/1/2010,10.58414791,4.26296409,6.321293889,1.195429546,-5.317232715,5.423654597,9.442307692,,,,,,,,,,,,,,,,,,,,
7/1/2010,9.928740836,4.474152004,5.454704359,1.086392571,-3.719798256,4.197913362,10.63586957,,,,,,,,,,,,,,,,,,,,
10/1/2010,12.58339312,4.550248932,8.033261678,1.981646494,-6.797442555,5.382433857,10.75,,,,,,,,,,,,,,,,,,,,
1/1/2011,12.42679838,4.568944256,7.857972099,1.937349878,-6.178777707,5.226137709,11.30555556,,,,,,,,,,,,,,,,,,,,
4/1/2011,13.20125274,4.534583447,8.666786379,2.129942589,-6.341455141,5.732346653,11.99450549,,,,,,,,,,,,,,,,,,,,
7/1/2011,10.53336288,4.365271478,6.168204121,1.167161214,-3.562801383,4.90727056,12.2826087,,,,,,,,,,,,,,,,,,,,
10/1/2011,11.80705763,4.242181778,7.564985392,1.423768304,-5.827998696,5.957139762,11.43478261,,,,,,,,,,,,,,,,,,,,
1/1/2012,10.49865619,4.201659865,6.297104813,0.972107763,-5.602052827,5.42122519,10.4010989,,,,,,,,,,,,,,,,,,,,
4/1/2012,10.22235104,4.30187184,5.92059028,0.949986266,-6.580651478,5.059654145,8.978021978,,,,,,,,,,,,,,,,,,,,
7/1/2012,8.020681638,4.392947935,3.627847131,0.385677204,-5.221370412,3.908214263,7.885869565,,,,,,,,,,,,,,,,,,,,
10/1/2012,10.27690167,4.319708087,5.957305123,1.081128714,-7.918202692,5.284806139,7.277173913,,,,,,,,,,,,,,,,,,,,
1/1/2013,12.08330272,4.208664431,7.874746964,1.608239936,-9.973711807,6.308961787,7.25,,,,,,,,,,,,,,,,,,,,
4/1/2013,10.79765681,4.230529575,6.567236475,1.281384908,-8.434627898,5.562385663,7.629120879,,,,,,,,,,,,,,,,,,,,
7/1/2013,6.969161247,4.252392756,2.716878291,0.206295132,-3.610065147,3.907462008,8.625,,,,,,,,,,,,,,,,,,,,
10/1/2013,7.530628772,4.043790899,3.486942287,0.279870555,-3.055790986,4.865317658,9.635869565,,,,,,,,,,,,,,,,,,,,
1/1/2014,11.30043983,4.090132692,7.210412744,1.438932648,-5.956913521,6.324062781,10.50833333,,,,,,,,,,,,,,,,,,,,
4/1/2014,11.23769005,3.782638142,7.455149578,1.243591097,-5.732267484,6.859489267,10.99450549,,,,,,,,,,,,,,,,,,,,
7/1/2014,7.790249499,3.738982576,4.051363466,0.159495041,-2.657997576,5.422122603,11,,,,,,,,,,,,,,,,,,,,
10/1/2014,8.524128768,3.810368713,4.713858441,0.431136859,-3.257363488,5.62074249,11.32336957,,,,,,,,,,,,,,,,,,,,
1/1/2015,12.35925641,3.313231213,9.046110745,1.251970246,-6.616356398,8.259378933,12.28333333,,,,,,,,,,,,,,,,,,,,
4/1/2015,11.1317843,2.851255795,8.280602127,0.536936104,-4.857958997,8.558498717,13.23901099,,,,,,,,,,,,,,,,,,,,
7/1/2015,7.619674052,2.519944697,5.099794422,-0.748465277,-1.068250834,7.725252207,14.0923913,,,,,,,,,,,,,,,,,,,,
10/1/2015,7.380153652,2.30569902,5.074514167,-0.962115604,-1.277116152,8.04472014,14.25,,,,,,,,,,,,,,,,,,,,
1/1/2016,9.532590923,1.803318393,7.729319092,-0.640337529,-3.832823081,9.872457568,14.25,,,,,,,,,,,,,,,,,,,,
4/1/2016,4.365003836,1.883477195,2.481575274,-2.038489018,1.568176379,7.624849224,14.25,,,,,,,,,,,,,,,,,,,,
7/1/2016,-0.384517698,1.83995042,-2.224420609,-3.320305787,6.725185465,6.095302002,14.25,,,,,,,,,,,,,,,,,,,,
10/1/2016,-4.514417757,1.79729366,-6.311665009,-4.429759758,11.34649335,4.948654036,13.9673913,,,,,,,,,,,,,,,,,,,,
1/1/2017,-6.520227866,1.905664103,-8.425842763,-4.813931565,13.56620622,4.280614668,12.78333333,,,,,,,,,,,,,,,,,,,,
4/1/2017,-7.760575167,2.055006192,-9.815528296,-4.927021316,14.06333511,3.673180723,11.0521978,,,,,,,,,,,,,,,,,,,,
7/1/2017,-11.27782242,2.188731295,-13.4664972,-5.699411056,16.76919538,2.262493516,9.282608696,,,,,,,,,,,,,,,,,,,,
10/1/2017,-10.0351974,2.088423317,-12.12356679,-5.282916557,14.30228397,2.987103952,7.567934783,,,,,,,,,,,,,,,,,,,,
1/1/2018,-6.868159584,2.090392449,-8.958498058,-4.256569121,10.4745509,3.96276765,6.827777778,,,,,,,,,,,,,,,,,,,,
4/1/2018,-7.751937465,1.992088417,-9.743974445,-4.437793893,11.0406776,3.632674359,6.5,,,,,,,,,,,,,,,,,,,,
7/1/2018,-6.745314673,1.971116883,-8.716380661,-4.050027814,9.643427296,3.825003546,6.5,,,,,,,,,,,,,,,,,,,,
10/1/2018,-6.502245456,1.861734664,-8.363932049,-3.930087525,9.152946325,3.97675097,6.5,,,,,,,,,,,,,,,,,,,,
1/1/2019,-5.424330715,2.032822973,-7.457101199,-3.383959225,8.095486526,3.880947881,6.5,,,,,,,,,,,,,,,,,,,,
4/1/2019,-5.255029302,1.940520218,-7.195499414,-3.259626142,7.829913457,4.017760984,6.5,,,,,,,,,,,,,,,,,,,,
7/1/2019,-9.077537975,2.033189378,-11.11067485,-4.177157884,11.5814883,2.521782355,6.10326087,,,,,,,,,,,,,,,,,,,,
10/1/2019,-9.490052441,2.00121582,-11.49121659,-4.206559173,11.30866477,2.522450783,5.054347826,,,,,,,,,,,,,,,,,,,,
1/1/2020,-7.56106686,1.578736419,-9.139762514,-3.87199959,8.589052898,3.935951832,4.277472527,,,,,,,,,,,,,,,,,,,,
4/1/2020,-20.17767526,-0.037569961,-20.14010627,-8.549238731,20.42714665,2.780171243,3.18956044,,,,,,,,,,,,,,,,,,,,
