Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1961-01-01,3.54625208819412,3.16468388119804,-0.0425457265051286,-2.38386445947384,-1.61178817931359,,,Parameter Point Estimates,,,,,,,,,,,,,,,,1961-01-01,1.3524335655182,1.90666775283105,0.506815918833636
1961-04-01,5.57634121572666,4.92733960045121,-0.0113339689701694,-2.34252990825092,-3.50415853321026,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,1961-04-01,1.36184268462177,1.90434004193713,0.497793182860436
1961-07-01,6.02195764493675,5.31499476507567,-0.00532416711600886,-1.63880678796784,-4.41416977610497,,,1.3383192501344,-0.390138850417593,-0.0740591504049245,0.571509711662906,0.04051423470841,0.562469399763882,1.3411448230704,0.462507399257561,-0.0489243008473065,1.13401462813425,10.3280030999289,1.03224900984339,1.49813909402467,0.948180399716811,,,1961-07-01,1.40815125150994,1.90148169297918,0.489075971270067
1961-10-01,5.51319513272221,4.87388623930702,-0.013863158514174,-0.989885057883441,-2.58050251573826,,,T Statistics,,,,,,,,,,,,,,,,1961-10-01,1.45829517833847,1.90072536103473,0.481047297634162
1962-01-01,6.08494711624194,5.36946749852505,-0.0041075723768779,-0.404247777476996,-2.62924894733842,,,13.4856537716235,3.75519105144916,2.92538055493934,11.5339649315799,1.58406902393422,4.58532783773309,26.895834343406,3.57960112780819,3.13203675419314,2.56068328951479,1.87164174093243,0.0495161811900349,0.278709544549826,,,,1962-01-01,1.51359041304553,1.89825366883684,0.47310659993136
1962-04-01,5.42417019207601,4.78990585884666,-0.0076531192420437,0.195246603419434,-1.75233249127557,,,,,,,,,,,,,,,,,,,1962-04-01,1.55136000556487,1.89887712305991,0.465790386328539
1962-07-01,5.40147254144496,4.76984941242148,-0.00760646623854056,0.314012446000845,-0.721975521663484,,,,,,,,,,,,,,,,,,,1962-07-01,1.59606470122486,1.90007070426777,0.459067909328755
1962-10-01,5.67179062972934,5.00569732009624,-0.00474335527220691,0.498837897965984,-3.10815204989047,,,Average Standard Errors,,,,,,,,,,,,,,,,1962-10-01,1.64338170881602,1.90019403552242,0.45251338874747
1963-01-01,5.32574015087911,4.70531579851416,-0.0101567946271263,0.655494700564248,-3.10971536797934,,,y*,r*,g,,,,,,,,,,,,,,1963-01-01,1.67914096179762,1.90286562870361,0.446620878691118
1963-04-01,5.41225397722425,4.78635313326171,-0.0155404913107242,0.656680296930858,-2.66247093341811,,,2.53744481625513,1.65427109917724,0.394048152353863,,,,,,,,,,,,,,1963-04-01,1.71890552111464,1.90547803042183,0.441097378690711
1963-07-01,5.13052999590887,4.52654937578712,-0.00264321120566727,1.0976640349586,-2.97335684850473,,,,,,,,,,,,,,,,,,,1963-07-01,1.76574870075232,1.90967510135419,0.436504672422044
1963-10-01,5.7176072470573,5.04735374790018,-0.00616573642972522,1.30926073678376,-3.27637486708975,,,Restrictions on MC draws: a_3 < -0.0025; b_2 > 0.025; a_1 + a_2 < 1,,,,,,,,,,,,,,,,1963-10-01,1.83000809307469,1.909217879358,0.431712447176593
1964-01-01,5.87712646120041,5.18662265405458,-0.00457949910996448,2.04343577488595,-3.62012150519993,,,Draws excluded:,,2086,Total:,5000,,,,,,,,,,,,1964-01-01,1.9252994414299,1.90728761122428,0.42666305548944
1964-04-01,5.48729907923484,4.84448267108014,-0.00641513551290959,2.36400392664774,-3.80516727650192,,,Percent excluded:,,0.294383290996331,,,,,,,,,,,,,,1964-04-01,1.91774114669474,1.90893735981008,0.422322134806629
1964-07-01,5.45282489715075,4.81717470797679,-0.00992168797325433,2.29947592613888,-2.88366404430875,,,Draws excluded because a_r > -0.0025:,,,,17,,,,,,,,,,,,1964-07-01,1.94264077206203,1.91107603765935,0.418355359425305
1964-10-01,5.2593230969754,4.64654675667871,-0.00992889540800199,2.27691059522607,-2.62730567876381,,,Draws excluded because b_y <  0.025:,,,,1999,,,,,,,,,,,,1964-10-01,1.96380673139992,1.91483494270218,0.415267438398764
1965-01-01,5.72565096449892,5.05497406691992,-0.00676357222753849,2.5721280520857,-3.16305786449051,,,Draws excluded because a_y1 + a_y2 < 1:,,,,130,,,,,,,,,,,,1965-01-01,2.06294788620777,1.91329310143813,0.411515193770084
1965-04-01,5.52079282223171,4.86959461918977,-0.00139870901331308,3.04418967509378,-3.3131644893457,,,,,,,,,,,,,,,,,,,1965-04-01,2.07750418563967,1.91349753358842,0.408243504862566
1965-07-01,5.5436761416941,4.89296586013257,-0.00501871865769943,3.08916566896414,-3.48804781714158,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,1965-07-01,2.1111872056815,1.91291937553846,0.40528906408805
1965-10-01,5.75474663190017,5.07352524371016,0.00129478932448003,3.50327831811836,-4.00099644101008,,,lambda_g,0.0561880295863673,,,-746.770881518191,,,,,,,,,,,,1965-10-01,2.20574459206362,1.90904492809471,0.402068212790619
1966-01-01,5.79635444693003,5.09981226971238,0.0130927323376726,4.10611877866648,-4.25335911468223,,,lambda_z,0.0104135522492541,,,,,,,,,,,,,,,1966-01-01,2.28757504435033,1.90382624758059,0.398857906782073
1966-04-01,5.9030173546114,5.19418604398137,0.0127343994857565,4.51603645245063,-4.32590383622239,,,,,,,,,,,,,,,,,,,1966-04-01,2.39454726628255,1.89692985196246,0.395429184320208
1966-07-01,5.59309965109332,4.93348216210014,-0.00154128836761509,4.35438154318666,-3.95287850700884,,,,,,,,,,,,,,,,,,,1966-07-01,2.32788546644997,1.89381665075809,0.392699412079219
1966-10-01,5.62817602499496,4.96502918282285,-0.00223969743958934,4.1929593768532,-3.85603589165725,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,1966-10-01,2.36501419014165,1.89008760072482,0.389956916930307
1967-01-01,5.35697762333792,4.72899963530668,-0.00577713954138102,3.89097682012766,-3.13162849528284,,,Initial State Vector,,,,,,,,,,,,,,,,1967-01-01,2.31730573186025,1.88959343573601,0.387844576896403
1967-04-01,5.56031187714392,4.8975060514896,0.0064683733787109,3.98106165179178,-4.09352811977698,,,300.521118331731,299.170593395727,297.820175309364,1.35052493600423,1.35041808636318,1.35035198508913,0,0,0,,,,,,,,1967-04-01,2.41373918940269,1.8860587537792,0.38539934930503
1967-07-01,5.36156613639527,4.7189107455795,0.0102523220482173,4.01359648308602,-4.38950108491831,,,,,,,,,,,,,,,,,,,1967-07-01,2.39634786569746,1.88510295728291,0.383258485997537
1967-10-01,5.24810037506571,4.62536057085288,0.00287382732316512,3.71559755799251,-3.24445225019998,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,1967-10-01,2.3834071168283,1.88555355228407,0.381452105864393
1968-01-01,5.21237391432227,4.5859736391229,0.0118127233188515,3.66510364805896,-2.10060726296867,,,0.61387182117857,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,1968-01-01,2.39311595339135,1.88591334719385,0.379970885655185
1968-04-01,5.47763966243102,4.8459065686833,-0.0176892730276794,3.6267656540806,-1.04796925653768,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,1968-04-01,2.49530043950852,1.88191776549997,0.378093347383503
1968-07-01,5.46103003868651,4.81068366311075,0.00564439339246879,4.11530188777562,-2.55705325128423,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,1968-07-01,2.52989313110513,1.87762298423995,0.376303240177128
1968-10-01,5.48921690543891,4.83003800517305,0.0118831531283083,4.2174113090432,-3.32451753003375,,,0.2,0,0,0.200675213586449,0.2,0,0,0,0,,,,,,,,1968-10-01,2.56792589962508,1.87249392050194,0.37457147435321
1969-01-01,5.50478545929795,4.86174960904652,-0.00850971568676561,4.08674600768461,-2.21613606992808,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,1969-01-01,2.60832699857514,1.86682288209739,0.372864054799947
1969-04-01,5.37543859635793,4.71561953190486,0.0278570664622355,4.27603988696211,-3.09374160600103,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,1969-04-01,2.57772105604769,1.86274956351187,0.371450325478316
1969-07-01,5.39133346707005,4.75664444929968,-0.00277091926936771,3.8110575468562,-1.54954972620567,,,0,0,0,0,0,0,0.206223791611268,0.2,0,,,,,,,,1969-07-01,2.60219207772274,1.85798361282319,0.370120827952644
1969-10-01,5.43726992320282,4.79707795089728,-0.00268664541495253,3.8028673418969,-1.25658801261796,,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,1969-10-01,2.655100222288,1.8522473218669,0.368786620577442
1970-01-01,5.35566376707674,4.71833077101947,0.0050076523647093,3.69563315009162,-1.8110059025628,,,0,0,0,0,0,0,0,0,0.2,,,,,,,,1970-01-01,2.6486219944649,1.84764151890579,0.367581254340472
1970-04-01,5.19704760865274,4.61031042921282,-0.0311118583144816,2.93314896110883,-0.653527697633203,,,,,,,,,,,,,,,,,,,1970-04-01,2.6017645679979,1.84512140983164,0.366607360981429
1970-07-01,5.23269597358137,4.65252514612117,-0.0433355998824669,2.51175403375373,-1.01471913245762,,,,,,,,,,,,,,,,,,,1970-07-01,2.62668929322054,1.84197156982786,0.365636291757663
1970-10-01,5.09239112764798,4.54700703884631,-0.063981368633129,1.98098586841149,-0.627727169033807,,,,,,,,,,,,,,,,,,,1970-10-01,2.58496782851911,1.84082891332355,0.364831673482165
1971-01-01,4.88769036469746,4.35591030753005,-0.0519756428823636,1.45638575091169,-0.457974720861581,,,,,,,,,,,,,,,,,,,1971-01-01,2.51870851682218,1.84227137392231,0.364462690793136
