Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
2005-01-01,3.70739200734901,3.77484861013123,-0.0670266795609569,-2.25014443417786,-2.38885275178449,,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
2005-04-01,4.09653490182963,3.83386633624984,0.263105210419213,-1.59265010941385,-2.60557086759267,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
2005-07-01,5.56244658296065,4.11067916761518,1.4522355868172,-0.534178821227897,-3.88253548458415,,,1.29878015375889,-0.432010991633083,-0.0025,0.650266615840579,0.174134757981396,1.49163670431511,2.07849565281051,0.676683007469999,-0.201420987611697,0.999886108486546,0.866769162125809,,,,,,,,,
2005-10-01,4.61679088572352,3.94199916759013,0.675240678384618,-0.093169057695377,-2.69268273550944,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,4.03854099235636,3.85538477045488,0.183595317507934,-0.0229894598357987,-2.10158284247932,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,8.45842253753936,3.93166259460826,4.52720772593439,1.01054029174929,-6.61248312658863,,,,,,,,,,,,,,,,,,,,,,
2006-07-01,6.96202410061811,4.28145763590462,2.68105408640343,0.545490774368545,-4.62479496165346,,,,,,,,,,,,,,,,,,,,,,
2006-10-01,10.1798198327861,4.63217213611356,5.54817526176766,0.805182135999303,-7.5955262901871,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,9.91384118461218,4.39903726951666,5.51530492810789,1.25707401070258,-7.7383107339404,,,,,,,,,,,,,,,,,,,,,,
2007-04-01,14.0734618008747,4.1626755604183,9.911260333876,1.88129493595875,-12.0657559838718,,,,,,,,,,,,,,,,,,,,,,
2007-07-01,17.6246382568281,3.7085463343437,13.9165142944392,2.43179066406128,-16.7999071248382,,,,,,,,,,,,,,,,,,,,,,
2007-10-01,24.0819673926522,4.11629428586841,19.9661419177698,2.34552162184468,-24.1096201006832,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,25.6964261551733,4.51193584009073,21.185004186284,2.29777179142434,-25.8341116968041,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,31.2495138579038,3.86390063191211,27.3860532914825,3.2576212511733,-32.2362017012799,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,16.4194910234783,3.84373960508425,12.576189187715,1.26015585292657,-15.9429708253247,,,,,,,,,,,,,,,,,,,,,,
2008-10-01,13.1443203369806,3.56538910080346,9.57933730373786,0.256321856055138,-12.2348391730373,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,1.2204412665436,3.58022387567955,-2.35937485202025,-1.3770923842053,-3.08424775838589,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,-18.5479927945557,3.59310776761567,-22.1406913376898,-3.23683024469801,14.2247136866866,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,-41.5205836085382,4.19995904593602,-45.720064314782,-5.13558768082703,38.2103366827656,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
2009-10-01,-46.8897371791882,4.13660436996243,-51.0258704250184,-4.86521074058669,45.4840734129525,,,lambda_g,0.184935411451451,,,-306.223035179283,,,,,,,,,,,,,,,
