Date,rstar,g,z,output gap,real rate gap,inflaton,nominal interest rate,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/1998,4.194705342,4.148373957,0.046758211,3.807723124,-2.174938876,7.341271949,7.918253968,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/1998,4.921279655,4.548418508,0.373329133,3.936144893,-2.424611367,6.967369924,8.5,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/1998,4.476295551,4.401712413,0.075036029,2.340825427,-1.263626865,5.38311503,9.285714286,0.871520981,-0.130302586,-0.0025,0.684110329,0.106713751,1.912456152,2.059617979,0.661401713,0,0.99989711,0.648668038,,,,,,,,,
10/1/1998,2.098174728,3.447526564,-1.348997121,-0.392857215,1.444296234,7.300264011,10.29047619,,,,,,,,,,,,,,,,,,,,
1/1/1999,1.718332915,3.488616808,-1.769924951,-1.332630456,-0.266070324,3.931649949,7.347862319,,,,,,,,,,,,,,,,,,,,
4/1/1999,1.074291227,3.296083957,-2.221453596,-1.519487988,-0.287487985,4.529821535,6.073015873,,,,,,,,,,,,,,,,,,,,
7/1/1999,1.399587463,3.698678397,-2.298710378,-1.232101992,-0.500816129,0.643179169,5,,,,,,,,,,Correlation,,,,,,,,,,
10/1/1999,2.128321685,4.024989985,-1.896254169,-0.396391483,0.482598322,0.451669317,5,,,,,,,,,,"r*, g",0.614369739,,,,,,,,,
1/1/2000,2.347819278,3.841784851,-1.493570292,0.06023339,0.533845041,3.706505693,5.214458247,,,,,,,,,,"r*, nominal interest",0.575117201,,,,,,,,,
4/1/2000,2.351426398,3.613020184,-1.261222043,0.003560701,0.619425852,5.31523682,5.5,,,,,,,,,,"r*, inflation",0.792823767,,,,,,,,,
7/1/2000,1.857185639,3.875841998,-2.018257574,-0.193313036,0.87503377,0.844087344,5.311594203,,,,,,,,,,,,,,,,,,,,
10/1/2000,2.169824215,3.864380826,-1.694159006,0.050895562,-0.188807507,2.210103308,5,,,,,,,,,,,,,,,,,,,,
1/1/2001,2.126947628,3.804316804,-1.676977751,-0.018652376,-0.415957366,2.944187238,4.539393939,,,,,,,,,,,,,,,,,,,,
4/1/2001,2.215102758,3.805982959,-1.590488604,-0.009003149,-0.740126966,3.0120364,3.727579365,,,,,,,,,,,,,,,,,,,,
7/1/2001,1.236729114,3.633240908,-2.39613797,-0.604556977,1.317691177,2.525082798,5.227272727,,,,,,,,,,,,,,,,,,,,
10/1/2001,1.236096082,3.577281237,-2.340817089,-0.685751391,2.424114895,2.877849654,6.5,,,,,,,,,,,,,,,,,,,,
1/1/2002,0.375729311,3.581550526,-3.20545271,-0.785003999,2.758661395,1.759589533,5.678030303,,,,,,,,,,,,,,,,,,,,
4/1/2002,0.944031171,3.512175807,-2.567783269,-0.594171345,0.835407354,3.019723919,4.325,,,,,,,,,,,,,,,,,,,,
7/1/2002,-0.738825909,3.583993544,-4.322450696,-0.7051237,1.866481986,0.652088361,3.204968944,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2002,1.169264978,3.574365274,-2.40473253,-0.073430469,-0.291465824,3.057401574,3,lambda_g,0.107035429,,,-440.0620783,,,,,,,,,,,,,,,
1/1/2003,1.828309533,3.620301938,-1.791619912,0.283195732,-1.495006783,3.028484237,2.772727273,lambda_z,0.021866025,,,,,,,,,,,,,,,,,,
4/1/2003,3.056798226,3.609144775,-0.551975205,0.503866691,-2.970217452,3.915702732,2.75,,,,,,,,,,,,,,,,,,,,
7/1/2003,-1.031151405,3.696539534,-4.727310603,-0.176049538,1.348784676,-0.272121626,2.75,,,,,,,,,,,,,,,,,,,,
10/1/2003,-2.754835822,3.681742358,-6.436199367,-0.540951548,3.842922572,-0.424412339,2.65,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/2004,-1.931958317,3.817530445,-5.749095977,0.113637968,2.813433178,0.413661946,1.78968254,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/2004,-0.03623829,3.897355457,-3.933192749,0.794509294,1.440976241,1.663920213,1.75,998.6301319,997.6217813,996.613523,1.008350647,1.008258225,1.008237155,0,0,0,,,,,,,,,,,
7/1/2004,1.147690973,4.114262397,-2.966148109,1.587358843,-0.044631487,1.188560492,1.813492063,,,,,,,,,,,,,,,,,,,,
10/1/2004,1.169841322,4.227616659,-3.057340358,1.728596764,-0.044629882,0.76634492,2.133333333,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/2005,1.710616405,4.139235197,-2.428192907,1.138377587,-0.433188261,1.69368402,2.605555556,0.779281738,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2005,4.772942807,4.225342352,0.548035199,1.478259104,-3.377534329,3.214221098,3.111111111,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/2005,5.341853697,4.44502608,0.897284965,1.985750483,-3.691589063,2.366105569,3.660353535,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/2005,5.697009065,4.49989397,1.197578088,1.864546185,-3.765678693,2.456223379,4.363888889,0.2,0,0,0.204345273,0.2,0,0,0,0,,,,,,,,,,,
1/1/2006,5.773691422,4.532344097,1.241813656,1.516153853,-3.792566605,2.588950688,4.6375,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2006,10.73110102,4.638737436,6.092840863,2.11900185,-8.887968627,5.058296054,4.960526316,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
7/1/2006,5.737783563,4.799565673,0.938711716,1.602273863,-3.419602043,1.480946656,5.214285714,0,0,0,0,0,0,225.0144758,0.2,0,,,,,,,,,,,
10/1/2006,5.68221856,4.979286839,0.703444039,1.822897017,-3.144591684,1.721299098,5.25,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
