Date,rstar,g,z,output gap,real rate gap,inflation,nominal interest rate,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
4/1/2012,2.31806086,2.315408949,0.001896157,0.220536273,-0.086499842,2.899864821,5,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
7/1/2012,2.403765817,2.400873557,0.00210861,0.317914942,-0.074567758,1.120952895,5,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
10/1/2012,2.395560668,2.392474066,0.002305693,0.32210902,-0.08552767,2.460648288,5,0.743847841,-0.040054825,-0.06545892,0.679230461,0.112619881,2.43873989,2.288505612,0.651278161,0,1.000326402,0.703793016,,,,,,,,,
1/1/2013,2.451320556,2.447792826,0.002728765,0.464734674,0.233180668,2.780529099,5,,,,,,,,,,,,,,,,,,,,
4/1/2013,2.489657255,2.485925561,0.002920284,0.465482368,0.260051939,2.639032941,5,,,,,,,,,,,,,,,,,,,,
7/1/2013,2.587544728,2.584023778,0.00267752,0.391205312,0.085590622,1.42724827,5,,,,,,,,,,,,,,,,,,,,
10/1/2013,2.48306867,2.478600561,0.003659089,0.432983573,-0.507839821,3.982577323,4.682575758,,,,,,,,,,,Correlation,,,,,,,,,
1/1/2014,2.392767392,2.38780855,0.004179457,0.254675958,-1.219821077,4.602213348,4.335714286,,,,,,,,,,,"r*, g",0.999919341,,,,,,,,
4/1/2014,2.265715398,2.258412264,0.006565984,0.730151344,-2.726899043,7.832695638,4,,,,,,,,,,,"r*, nominal interest",0.107899614,,,,,,,,
7/1/2014,2.292642818,2.287974487,0.003921531,-0.296867528,-3.438632301,2.649804957,3.620833333,,,,,,,,,,,"r*, inflation",-0.286815615,,,,,,,,
10/1/2014,2.299763382,2.294107725,0.004906856,0.379629352,-4.249218456,4.894924532,3.045454545,,,,,,,,,,,,,,,,,,,,
1/1/2015,2.269576252,2.263834171,0.005003162,0.41689299,-4.383785047,5.079410054,3,,,,,,,,,,,,,,,,,,,,
4/1/2015,2.217500469,2.209969774,0.006809356,0.937947678,-4.232262461,7.434908428,3,,,,,,,,,,,,,,,,,,,,
7/1/2015,2.191976232,2.186204065,0.005058586,0.124585702,-4.586232528,4.167782169,3,,,,,,,,,,,,,,,,,,,,
10/1/2015,2.211234677,2.205786496,0.004728208,0.364827126,-4.225561895,4.349811395,3.243650794,,,,,,,,,,,,,,,,,,,,
1/1/2016,2.250435005,2.245702805,0.003999199,0.612259838,-3.743831595,4.021084367,3.5,,,,,,,,,,,,,,,,,,,,
4/1/2016,2.128487997,2.122571437,0.005223748,0.081810556,-3.130348256,5.468763106,3.5,,,,,,,,,,,,,,,,,,,,
7/1/2016,2.189096109,2.185773047,0.002609622,-0.114897484,-2.695557152,2.186185306,3.5,,,,,,,,,,,,,,,,,,,,
10/1/2016,2.1712188,2.169350052,0.001160668,-0.561535413,-1.868824026,1.114388126,3.5,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
1/1/2017,2.026943822,2.023192751,0.003090697,-1.11462245,-1.808252465,3.402826951,3.261732229,lambda_g,0.049389322,,,-215.9502661,,,,,,,,,,,,,,,
4/1/2017,2.039390618,2.035014858,0.003711528,-0.371041393,-2.023321809,3.929294075,2.674242424,lambda_z,0.000138744,,,,,,,,,,,,,,,,,,
7/1/2017,2.156952192,2.155519124,0.000729503,0.251828099,-1.922117165,0.614150743,2.5,,,,,,,,,,,,,,,,,,,,
10/1/2017,2.185420591,2.184536726,0.000170828,0.515555835,-1.894334175,0.889382567,2.5,,,,,,,,,,,,,,,,,,,,
1/1/2018,2.195939588,2.194571699,0.000651576,0.790864756,-1.587583813,2.133749517,2.5,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
4/1/2018,2.222237949,2.219448785,0.002064732,1.471165982,-1.608657426,3.908395081,2.5,Initial State Vector,,,,,,,,,,,,,,,,,,,
7/1/2018,2.202480928,2.200973056,0.000789471,0.506640982,-1.842722606,1.629439547,2.5,1061.531382,1060.999531,1060.467337,0.531851029,0.532193568,0.532308739,0,0,0,,,,,,,,,,,
10/1/2018,2.267522677,2.266917297,-0.000134546,1.009492119,-1.813139311,1.313912695,2.700757576,,,,,,,,,,,,,,,,,,,,
1/1/2019,2.182590175,2.180342002,0.001536506,0.224976515,-1.753286378,3.112855669,2.920454545,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
4/1/2019,2.218646829,2.215979481,0.001944048,0.850688917,-1.751153031,3.573816899,2.875,0.400001721,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
7/1/2019,2.228579728,2.227619564,0.000233064,0.361349687,-2.21118617,1.337247912,2.351851852,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
10/1/2019,1.984647192,1.982249798,0.001750383,-2.668248731,-2.641002294,1.859075688,1.814393939,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
1/1/2020,1.996066669,1.992295034,0.003121346,-1.316307146,-2.915509932,3.407632554,1.625,0.2,0,0,0.200000004,0.2,0,0,0,0,,,,,,,,,,,
4/1/2020,1.226988509,1.218238467,0.008352406,-10.39259448,-3.314919065,3.747766073,0.5,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
7/1/2020,1.329980774,1.322170099,0.007379117,-6.423508827,-3.496238788,1.650557738,0.5,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
10/1/2020,1.501493526,1.492136336,0.008870154,-1.118090816,-4.208819746,4.023348516,0.5,0,0,0,0,0,0,0.200008581,0.2,0,,,,,,,,,,,
1/1/2021,1.61754527,1.608743612,0.008276561,1.274153148,-4.365633839,3.570681946,0.5,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
4/1/2021,1.646901732,1.638086866,0.008280191,1.742764028,-4.39389714,3.74339343,0.5,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
7/1/2021,1.827525357,1.81886385,0.008067826,4.198622724,-4.815949567,4.457542788,0.96031746,,,,,,,,,,,,,,,,,,,,
10/1/2021,1.938017363,1.928088479,0.009299552,5.42646901,-3.713334474,6.615364568,2.821428571,,,,,,,,,,,,,,,,,,,,
1/1/2022,1.836106191,1.820515398,0.014996573,4.294003748,-3.442553338,12.06911513,5.114906832,,,,,,,,,,,,,,,,,,,,
4/1/2022,1.8142861,1.795766437,0.017933521,3.702621963,-2.994331845,13.35846352,7.945075758,,,,,,,,,,,,,,,,,,,,
7/1/2022,1.832348882,1.815144381,0.016612034,2.671180902,-2.585327994,10.60706847,9.90952381,,,,,,,,,,,,,,,,,,,,
10/1/2022,1.887220678,1.873454758,0.013154421,1.853844863,-1.557064317,7.399113401,11.18859649,,,,,,,,,,,,,,,,,,,,
1/1/2023,1.891279213,1.875337287,0.015329812,2.118883414,-1.348441451,11.46400356,11.25,,,,,,,,,,,,,,,,,,,,
4/1/2023,1.884020662,1.869652073,0.013758331,1.029355403,-0.413604683,9.648150654,11.25,,,,,,,,,,,,,,,,,,,,
7/1/2023,1.992473675,1.985887625,0.005937853,0.110718642,0.814739107,1.687617259,10.356934,,,,,,,,,,,,,,,,,,,,
10/1/2023,2.011685701,2.007694203,0.003336183,-0.394720952,0.985735298,1.442123474,9.057894737,,,,,,,,,,,,,,,,,,,,
