Date,rstar,g,z,output gap,real rate gap,inflation,nominal interest rate,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
4/1/2012,2.322731187,2.316756182,0.005599791,0.200674497,-0.091170168,2.899864821,5,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
7/1/2012,2.405330831,2.397492115,0.007450427,0.287914494,-0.076132772,1.120952895,5,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
10/1/2012,2.39869683,2.389019256,0.009290657,0.296686497,-0.088663832,2.460648288,5,0.744957984,-0.037901245,-0.064893745,0.680181802,0.105636932,2.434048227,2.28716648,0.642081556,0,1.000161956,0.707056738,,,,,,,,,
1/1/2013,2.461111504,2.443655228,0.01706051,0.440944084,0.22338972,2.780529099,5,,,,,,,,,,,,,,,,,,,,
4/1/2013,2.50337316,2.480590301,0.022381112,0.444981266,0.246336034,2.639032941,5,,,,,,,,,,,,,,,,,,,,
7/1/2013,2.599957258,2.575160991,0.024379204,0.377156291,0.073178092,1.42724827,5,,,,,,,,,,,,,,,,,,,,
10/1/2013,2.512054253,2.473309658,0.038344027,0.41650955,-0.536825404,3.982577323,4.682575758,,,,,,,,,,Correlation,,,,,,,,,,
1/1/2014,2.422914774,2.381987019,0.040541977,0.239483633,-1.249968459,4.602213348,4.335714286,,,,,,,,,,"r*, g",0.584862226,,,,,,,,,
4/1/2014,2.353461439,2.25752322,0.095572599,0.705272102,-2.814645084,7.832695638,4,,,,,,,,,,"r*, nominal interest",0.563060434,,,,,,,,,
7/1/2014,2.282212882,2.276636882,0.005207284,-0.300639951,-3.428202365,2.649804957,3.620833333,,,,,,,,,,"r*, inflation",0.634070162,,,,,,,,,
10/1/2014,2.333515933,2.286652757,0.046492837,0.372352372,-4.282971006,4.894924532,3.045454545,,,,,,,,,,,,,,,,,,,,
1/1/2015,2.295818588,2.254602048,0.040851392,0.412568092,-4.410027383,5.079410054,3,,,,,,,,,,,,,,,,,,,,
4/1/2015,2.306803328,2.201240313,0.10520651,0.932235927,-4.321565321,7.434908428,3,,,,,,,,,,,,,,,,,,,,
7/1/2015,2.177571492,2.17084748,0.00637243,0.129488549,-4.571827788,4.167782169,3,,,,,,,,,,,,,,,,,,,,
10/1/2015,2.1912919,2.192249754,-0.001312902,0.370637689,-4.205619118,4.349811395,3.243650794,,,,,,,,,,,,,,,,,,,,
1/1/2016,2.21607697,2.235864579,-0.020149722,0.616490057,-3.70947356,4.021084367,3.5,,,,,,,,,,,,,,,,,,,,
4/1/2016,2.078315673,2.10062252,-0.022647056,0.095713559,-3.080175932,5.468763106,3.5,,,,,,,,,,,,,,,,,,,,
7/1/2016,2.02388382,2.169554565,-0.146022118,-0.1082911,-2.530344863,2.186185306,3.5,,,,,,,,,,,,,,,,,,,,
10/1/2016,1.895698747,2.150669903,-0.255319471,-0.559239469,-1.593303973,1.114388126,3.5,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
