Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1998-01-01,3.72902059321319,3.91023517242867,-0.00583077114791139,4.17524734396272,5.92915857144457,,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
1998-04-01,4.37400609813883,4.51594125069593,0.0606160850618169,3.56585645707014,4.23266218981941,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
1998-07-01,4.28697825361541,4.52638348431686,-0.0363856328391241,1.64704039958917,12.7266428127959,,,1.68933693206898,-0.84611228613874,-0.0138265229009627,0.52814625171201,0.389810052364695,0.553045153382581,1.86750107924136,1.09020884352955,-0.197404992653853,0.955147503837056,0.843224645930235,,,,,,,,,
1998-10-01,2.74676299180299,3.2661425878337,-0.372884948142272,0.4841428424985,7.23189844619739,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,3.51114144239364,4.03263360396377,-0.340618478321791,-2.58471222008484,-0.730074504217455,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,3.65971364972497,4.10405777975734,-0.260266894213301,-3.51690204280976,1.81740705253595,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,4.14778488200887,4.67790498590985,-0.320304388469849,-4.42874080875936,-1.74568021445012,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,4.36428445704362,4.86917140831972,-0.286492459367726,-3.67640511031561,1.52663555066985,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,3.9475558155596,4.25348130611035,-0.115146236589285,-1.59128022966684,3.12965025614061,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,3.5405326834445,3.66763915583039,0.0373962987780508,-0.0960019444642057,5.86365290018225,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,3.29158532840798,3.89027058680218,-0.42419691182684,-0.465299846251924,1.82237321150398,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,3.2981017111234,3.8311493480046,-0.361211025450154,-0.0100064244425084,5.04291499759298,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,3.13721369601981,3.72560633780341,-0.421289897812629,0.178858357515082,-0.282284040233719,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,3.16931687845108,3.72897154939439,-0.39240098883237,0.20054261867449,3.4880795489836,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,2.656411563122,3.52960372006325,-0.714880619630404,-0.0879906300909852,0.650736000704932,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,2.77662310562216,3.53121931773743,-0.596212211215933,-0.340213590431745,0.970254538446035,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,2.57687973044663,3.60923132651434,-0.870468561844051,-0.801219857242813,0.632814006530181,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,2.88965454084915,3.54786763612915,-0.499082375743878,-0.545860625333944,-1.09521601673576,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,2.33515956563881,3.65943885733846,-1.16014432439235,-0.987337227195894,-1.20580576548626,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
2002-10-01,3.1432581550035,3.61723389914395,-0.311733774558627,-0.150855921851758,-2.25879233475476,,,lambda_g,0.043831583982221,,,-397.287685343203,,,,,,,,,,,,,,,
2003-01-01,3.45970723581364,3.61657443463483,0.00534519213126849,0.392305938183767,-3.15246509153732,,,lambda_z,0.0474542384236537,,,,,,,,,,,,,,,,,,
2003-04-01,3.82202114024823,3.5430238134921,0.437910788756008,0.975629713088551,-3.74544036603823,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,2.0827804413336,3.65812009988096,-1.41126384080386,-0.0542842966034414,-1.76848050383931,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,1.07670545212246,3.67510819886398,-2.43356497035357,-0.617975857800616,0.0113812969217333,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
2004-01-01,1.5789360463412,3.85046644979023,-2.09882737178427,-0.389017299089119,-0.710477057994431,,,Initial State Vector,,,,,,,,,,,,,,,,,,,
2004-04-01,2.37277582043251,3.88356983289422,-1.33660621143329,0.437442937933042,-0.971371202294971,,,998.63013190762,997.621781260937,996.613523035707,1.00835064668274,1.00825822523021,1.00823715543967,0,0,0,,,,,,,,,,,
2004-07-01,3.08822398806856,4.04790654475828,-0.778123843922998,1.17522109726974,-1.9986565659412,,,,,,,,,,,,,,,,,,,,,,
2004-10-01,2.84247062965818,4.08422591434845,-1.05856755753836,1.54138857161456,-1.6639258556833,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
2005-01-01,2.30924641727358,3.91371994577713,-1.42893341965274,1.57859438163814,-0.990707161709066,,,1.56483628534172,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
2005-04-01,3.46203374873958,4.00752724947608,-0.365745900156475,1.79611065096992,-1.97106971450262,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
2005-07-01,4.06449603377041,4.26640473238938,-0.0105497967299059,1.72100758324677,-2.38458493539391,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
2005-10-01,3.95098763227864,4.30214154961585,-0.158192129990619,1.6282105555008,-2.02687948206456,,,0.2,0,0,0.202237892503994,0.2,0,0,0,0,,,,,,,,,,,
2006-01-01,3.68971043201079,4.32617681131084,-0.442426550470521,1.28822916291892,-1.75275228213374,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
2006-04-01,5.57208582032819,4.42763396722409,1.34304228862994,1.80563006320699,-3.72614640937747,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
2006-07-01,3.99738414135873,4.60978183843248,-0.40563747485345,0.827484665502425,-1.66015500239408,,,0,0,0,0,0,0,3.53915706731408,0.2,0,,,,,,,,,,,
2006-10-01,4.05568701046937,4.79804905799245,-0.527157570559866,0.653287046113064,-1.4713934678704,,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
2007-01-01,4.36873761881123,4.72993110893886,-0.149044273212965,0.912946697956158,-2.19320716813944,,,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
2007-04-01,5.76351117354045,4.62944542084925,1.3417079356664,1.46361937147685,-3.75580535653751,,,,,,,,,,,,,,,,,,,,,,
2007-07-01,7.36933657888804,4.42584554631618,3.14200125295579,1.95057722665501,-6.54460544689811,,,,,,,,,,,,,,,,,,,,,,
2007-10-01,8.24481335487883,4.60871909088043,3.8428068193382,1.65239961833049,-8.27246606290983,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,8.16050603192124,4.82696287903242,3.55004448689929,1.23685192120661,-8.29819157355202,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,9.64814335879725,4.55168255049383,5.30061513243438,1.93976743113785,-10.6348312021734,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,7.10181124120072,4.45060141388725,2.85083041015265,0.414928294542278,-6.62529104304711,,,,,,,,,,,,,,,,,,,,,,
2008-10-01,6.62892392085007,4.28126162354667,2.53968756784608,-0.490905421494062,-5.71944275690682,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,5.00846052824503,4.24512711081517,0.953737964878897,-1.94651589109071,-6.87226702008732,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,2.39294241669436,4.20026699376567,-1.6189321178501,-3.50908095540785,-6.71622152456352,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,-0.71068247656169,4.41426838573125,-4.92695990645973,-4.93440214840734,-2.59956444921089,,,,,,,,,,,,,,,,,,,,,,
