Date,rstar,g,z,output gap,real rate gap,interest,inflation,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/2006,2.516479768,4.184783884,-0.000949349,-1.358428485,-0.035897853,5.923333333,5.331714297,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/2006,2.395882885,4.001906288,-0.011533052,-1.095516904,0.358671916,6.166666667,4.47500506,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/2006,2.502635291,4.14928925,0.006558586,-0.248862776,0.324509108,6.64,3.815540018,0.654901288,-0.002141724,-0.462193254,0.297445064,0.163391526,2.474333356,2.329705424,0.445412625,0,0.601567294,0.652759565,,,,,,,,,
10/1/2006,2.633301669,4.336756134,0.024451017,0.259721705,0.358506281,7.23,3.330508825,,,,,,,,,,,,,,,,,,,,
1/1/2007,2.660814758,4.294650419,0.077293527,0.927002873,0.023747326,7.763333333,8.694031094,,,,,,,,,,,,,,,,,,,,
4/1/2007,2.671889884,4.237169155,0.122947502,1.127039192,-0.348104887,8.463333333,8.718113409,,,,,,,,,,,,,,,,,,,,
7/1/2007,2.872488996,4.575802427,0.119835912,1.452129892,0.239172855,9.176666667,3.517365936,,,,,,,,,,,,,,,,,,,,
10/1/2007,2.98629915,4.817472275,0.08826539,1.2203906,0.295167792,9.26,2.984621797,,,,,,,,,,,,,,,,,,,,
1/1/2008,2.92300424,4.641627009,0.130753241,0.674826196,0.598946286,9.516666667,8.758763418,,,,,,,,,,,,,,,,,,,,
4/1/2008,2.920839642,4.631111897,0.13491419,0.225551292,1.3105004,9.666666667,6.480555349,,,,,,,,,,,,,,,,,,,,
7/1/2008,2.935226118,4.744183596,0.08128043,-0.393406694,1.628669985,9.951398333,3.32606836,,,,,,,,,,,Correlation,,,,,,,,,
10/1/2008,2.719388253,4.528171707,-0.004611747,-2.488691779,1.315893743,9.766412667,4.359135557,,,,,,,,,,,"r*, interest",0.674577951,,,,,,,,
1/1/2009,2.637236953,4.330308904,0.032264744,-2.879509833,0.588873298,8.573755,7.224819732,,,,,,,,,,,"r*, inflation",0.467290851,,,,,,,,
4/1/2009,2.567863915,4.257767546,0.006530215,-2.851382276,-1.533078608,5.977068667,4.859109789,,,,,,,,,,,,,,,,,,,,
7/1/2009,2.400524944,4.203311199,-0.1280496,-2.864124534,-2.709573213,4.340615333,2.155589334,,,,,,,,,,,,,,,,,,,,
10/1/2009,2.140418721,4.097085785,-0.324254088,-2.759514,-2.257471813,3.699742667,1.027664183,,,,,,,,,,,,,,,,,,,,
1/1/2010,1.995588157,3.793974544,-0.286742842,-1.990786636,-1.98292537,3.345345,5.288365547,,,,,,,,,,,,,,,,,,,,
4/1/2010,1.882980725,3.692792221,-0.338482298,-1.19226639,-1.516074883,3.179742333,2.779726902,,,,,,,,,,,,,,,,,,,,
7/1/2010,1.710739162,3.596699767,-0.452917784,-1.175301971,-1.282390882,3.034463,1.328702247,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2010,1.696443886,3.67296222,-0.513090057,-0.089252088,-1.306598802,3.027173667,1.152519634,lambda_g,0.163379741,,,-328.8170001,,,,,,,,,,,,,,,
1/1/2011,1.864372308,3.618360392,-0.312314961,1.336169913,-1.406011876,3.140887667,5.469160154,lambda_z,0.066717184,,,,,,,,,,,,,,,,,,
4/1/2011,1.866772889,3.670793158,-0.341456218,1.677724292,-0.640871668,3.836802667,2.493223747,,,,,,,,,,,,,,,,,,,,
7/1/2011,1.956149772,3.805536728,-0.333136659,2.369763181,-0.371394909,4.480038333,2.466230348,,,,,,,,,,,,,,,,,,,,
10/1/2011,1.98433085,3.849235588,-0.331243386,2.060861644,-0.697924216,4.672709333,3.116596548,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/2012,2.21076875,3.868992939,-0.116690862,2.751875141,-0.731606829,5.020932333,6.091031003,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/2012,2.105929258,3.93261028,-0.259800466,1.867996636,-0.338980613,5.273185667,2.351090188,1181.062924,1180.001892,1178.940608,1.061031814,1.061283667,1.061378255,0,0,0,,,,,,,,,,,
7/1/2012,1.887821127,3.894535634,-0.455004135,0.318923884,-0.149697891,5.073076,1.781093317,,,,,,,,,,,,,,,,,,,,
10/1/2012,1.804011525,3.990492793,-0.596538426,0.182153267,-0.081835396,4.654879667,1.50759964,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/2013,1.894626611,3.984164734,-0.502116586,0.535970884,-0.312452054,3.952646333,3.84210396,0.60236029,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2013,2.154777539,4.195435247,-0.369059089,2.271102635,-1.566558911,3.168192,3.18909657,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/2013,2.006704457,4.192447303,-0.515334722,1.337795762,-1.295416066,3.247167667,1.604716932,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/2013,1.913088921,4.269948148,-0.655572231,1.360578319,-1.105695211,3.255630667,1.157030362,0.2,0,0,0.205401591,0.2,0,0,0,0,,,,,,,,,,,
1/1/2014,2.063700672,4.251453536,-0.493834727,1.984936644,-1.363775143,3.216093769,4.113829093,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
