Date,rstar,g,z,output gap,real rate gap,inflation,interest,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/2006,3.883436429,4.363045442,0.01866901,-1.451725784,-1.404133045,5.331714297,5.922054803,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/2006,3.62532059,4.106133226,-0.011875062,-1.19246069,-0.861757304,4.47500506,6.175675153,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/2006,3.837822309,4.238801641,0.083109529,-0.334282553,-0.989927019,3.815540018,6.660750891,0.600335156,0.181210964,-0.191561775,0.242590111,0.319467457,1.573681453,2.200079627,0.143639038,-0.207551325,0.885795821,0.78154612,,,,,,,,,
10/1/2006,4.132625831,4.449012035,0.191709563,0.149391247,-1.162019514,3.330508825,7.208798367,,,,,,,,,,,,,,,,,,,,
1/1/2007,4.267694208,4.227929664,0.52261178,1.032765157,-1.582529465,8.694031094,7.763935992,,,,,,,,,,,,,,,,,,,,
4/1/2007,4.348943636,4.000679394,0.805158548,1.517147756,-2.031794935,8.718113409,8.456697037,,,,,,,,,,,,,,,,,,,,
7/1/2007,4.71840243,4.427179905,0.796824972,1.781879831,-1.607294423,3.517365936,9.176112823,,,,,,,,,,,,,,,,,,,,
10/1/2007,4.749234317,4.790875463,0.505496853,1.358544965,-1.460494849,2.984621797,9.267272526,,,,,,,,,,,,,,,,,,,,
1/1/2008,4.525588781,4.487175991,0.55086704,1.068393928,-1.010821391,8.758763418,9.50948353,,,,,,,,,,,,,,,,,,,,
4/1/2008,4.278994497,4.400907195,0.380689295,0.831479919,-0.050683202,6.480555349,9.66363792,,,,,,,,,,,,,,,,,,,,
7/1/2008,3.882417977,4.5525159,-0.150181583,0.167970494,0.670350181,3.32606836,9.940270389,,,,,,,,,,,,,,,,,,,,
10/1/2008,2.558168102,4.374289922,-1.316559631,-2.012721961,1.485929402,4.359135557,9.775228175,,,,,,,,,,,,,,,,,,,,
1/1/2009,2.212601622,4.078050759,-1.399718698,-2.093472439,0.997282415,7.224819732,8.557528786,,,,,,,,,,,,,,,,,,,,
4/1/2009,2.037187321,4.024148551,-1.527386649,-2.038271894,-0.983905609,4.859109789,5.995565071,,,,,,,,,,,,,,,,,,,,
7/1/2009,1.376842482,4.133927472,-2.284973198,-2.475489387,-1.679638515,2.155589334,4.34686757,,,,,,,,,,,,,,,,,,,,
10/1/2009,0.364551298,4.266011434,-3.414263803,-3.076651293,-0.479253157,1.027664183,3.702093901,,,,,,,,,,,,,,,,,,,,
1/1/2010,0.41848923,4.024122903,-3.146062021,-2.456071608,-0.401991005,5.288365547,3.349180438,,,,,,,,,,,,,,,,,,,,
4/1/2010,0.388199247,3.994040928,-3.149705516,-1.872602757,-0.019662849,2.779726902,3.18137289,,,,,,,,,,,,,,,,,,,,
7/1/2010,-0.150283181,4.006656318,-3.699362603,-2.246986579,0.581111025,1.328702247,3.036942564,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2010,0.098180759,4.115640616,-3.547436499,-1.334644884,0.290274142,1.152519634,3.025783483,lambda_g,0.316780673,,,-294.4649195,,,,,,,,,,,,,,,
1/1/2011,1.468109757,3.97977259,-2.057156172,0.360467073,-0.998483006,5.469160154,3.152153986,lambda_z,0.138615581,,,,,,,,,,,,,,,,,,
4/1/2011,1.657563794,4.031836271,-1.913819927,0.637620235,-0.427958618,2.493223747,3.840506621,,,,,,,,,,,,,,,,,,,,
7/1/2011,2.137031325,4.127898231,-1.519443677,1.364815354,-0.541791091,2.466230348,4.490523705,,,,,,,,,,,,,,,,,,,,
