Date,rstar,g,z,output gap,real rate gap,interest,inflation,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/2006,2.539119552,4.191281407,-0.000641725,-1.37220297,-0.058537637,5.923333333,5.331714297,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/2006,2.417491514,4.006869442,-0.010522943,-1.133933532,0.337063286,6.166666667,4.47500506,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/2006,2.522070004,4.15324782,0.005355673,-0.273013315,0.305074395,6.64,3.815540018,0.664066168,0.000336476,-0.464313437,0.298822787,0.15797571,2.506374155,2.335844663,0.229799476,0,0.605962957,0.664402644,,,,,,,,,
10/1/2006,2.6520976,4.342004389,0.021003779,0.258464308,0.33971035,7.23,3.330508825,,,,,,,,,,,,,,,,,,,,
1/1/2007,2.663079915,4.287290307,0.065140801,0.906933263,0.021482169,7.763333333,8.694031094,,,,,,,,,,,,,,,,,,,,
4/1/2007,2.658949858,4.21818559,0.102885643,1.096206626,-0.335164861,8.463333333,8.718113409,,,,,,,,,,,,,,,,,,,,
7/1/2007,2.869558337,4.568502392,0.101215117,1.472790961,0.242103514,9.176666667,3.517365936,,,,,,,,,,,,,,,,,,,,
10/1/2007,2.997279292,4.82148466,0.075638188,1.27874652,0.284187649,9.26,2.984621797,,,,,,,,,,,0.735204882,,,,,,,,,
1/1/2008,2.919732715,4.63576597,0.110630258,0.706197536,0.602217812,9.516666667,8.758763418,,,,,,,,,,,0.650863853,,,,,,,,,
4/1/2008,2.916888074,4.625434185,0.114046295,0.25466349,1.314451968,9.666666667,6.480555349,,,,,,,,,,,0.412520057,,,,,,,,,
7/1/2008,2.945979311,4.746523556,0.069761859,-0.34736284,1.617916792,9.951398333,3.32606836,,,,,,,,,,,,,,,,,,,,
10/1/2008,2.744774585,4.533069096,-0.002097371,-2.470651896,1.290507411,9.766412667,4.359135557,,,,,,,,,,,,,,,,,,,,
1/1/2009,2.653794223,4.332828878,0.028260423,-2.901309747,0.572316027,8.573755,7.224819732,,,,,,,,,,,,,,,,,,,,
4/1/2009,2.589733903,4.262944837,0.006547242,-2.889772232,-1.554948596,5.977068667,4.859109789,,,,,,,,,,,,,,,,,,,,
7/1/2009,2.447374775,4.213875142,-0.106077469,-2.904896661,-2.756423045,4.340615333,2.155589334,,,,,,,,,,,,,,,,,,,,
10/1/2009,2.221112683,4.1120903,-0.270661717,-2.802739216,-2.338165775,3.699742667,1.027664183,,,,,,,,,,,,,,,,,,,,
1/1/2010,2.064098609,3.804022311,-0.240998001,-2.087025135,-2.051435822,3.345345,5.288365547,,,,,,,,,,,,,,,,,,,,
4/1/2010,1.955600615,3.698859565,-0.285771266,-1.292078605,-1.588694773,3.179742333,2.779726902,,,,,,,,,,,,,,,,,,,,
7/1/2010,1.79780945,3.598780714,-0.382918355,-1.268336737,-1.369461169,3.034463,1.328702247,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2010,1.78939422,3.669426949,-0.434142586,-0.144312297,-1.399549136,3.027173667,1.152519634,lambda_g,0.317812241,,,-328.7869383,,,,,,,,,,,,,,,
1/1/2011,1.91825282,3.605927234,-0.266805511,1.270361527,-1.459892388,3.140887667,5.469160154,lambda_z,0.060015638,,,,,,,,,,,,,,,,,,
4/1/2011,1.921159572,3.652228082,-0.291955358,1.646432583,-0.69525835,3.836802667,2.493223747,,,,,,,,,,,,,,,,,,,,
7/1/2011,2.00622427,3.781094032,-0.284978652,2.386745595,-0.421469408,4.480038333,2.466230348,,,,,,,,,,,,,,,,,,,,
10/1/2011,2.031611063,3.820616647,-0.2835411,2.104830757,-0.745204429,4.672709333,3.116596548,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/2012,2.221576315,3.836107144,-0.102962515,2.794676251,-0.742414394,5.020932333,6.091031003,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/2012,2.138909779,3.898968601,-0.223720766,1.95094231,-0.371961134,5.273185667,2.351090188,1181.062924,1180.001892,1178.940608,1.061031814,1.061283667,1.061378255,0,0,0,,,,,,,,,,,
7/1/2012,1.951002344,3.861646448,-0.389012358,0.421058974,-0.212879108,5.073076,1.781093317,,,,,,,,,,,,,,,,,,,,
10/1/2012,1.889973326,3.959277825,-0.509202374,0.323636845,-0.167797196,4.654879667,1.50759964,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
