Date,rstar,g,z,output gap,real rate gap,inflation,nominal interest rate,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/2009,0.416406562,0.909042973,-0.365849118,-4.1811948,1.621064207,5.998426863,7.622222222,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/2009,-0.877499316,0.105294833,-0.968108323,-5.253773505,1.178028076,4.652897193,5.678571429,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/2009,-0.570184001,0.295832068,-0.824755371,-2.233526861,0.321229374,3.151319988,4.543478261,0.363578222,-0.009373781,-0.449761695,0.497079734,0.025,2.668210009,1.173173429,0.271789331,0,0.860526623,0.354204441,,,,,,,,,
10/1/2009,-0.43080883,0.370832396,-0.749919979,-0.761971887,0.57906417,3.604334594,4.5,,,,,,,,,,,,,,,,,,,,
1/1/2010,-0.142217627,0.407124628,-0.492559208,0.157456808,0.248610853,6.165875322,4.5,,,,,,,,,,,,,,,,,,,,
4/1/2010,0.231109363,0.62530105,-0.306978838,0.764618826,0.350532408,2.75190301,4.5,,,,,,,,,,,,,,,,,,,,
7/1/2010,0.657480282,0.821298537,-0.049268974,1.193884742,0.139410069,2.290325669,4.5,,,,,,,,,,,,,,,,,,,,
10/1/2010,1.132129596,0.973879056,0.294080741,1.460954842,-0.211731075,3.110301914,4.5,,,,,,,,,,Correlation,,,,,,,,,,
1/1/2011,1.734001107,1.06143185,0.820610742,1.831285627,-0.491868362,4.878938428,4.5,,,,,,,,,,"r*, g",0.150050609,,,,,,,,,
4/1/2011,1.965656179,1.233042757,0.90459006,1.68873372,-0.638304981,2.411029196,4.5,,,,,,,,,,"r*, nominal interest",0.525142317,,,,,,,,,
7/1/2011,2.678752884,1.49566573,1.391692705,2.698844626,-1.361609869,2.331158403,4.5,,,,,,,,,,"r*, inflation",0.573054876,,,,,,,,,
10/1/2011,3.212313696,1.606402579,1.82996151,2.73571085,-1.995048325,3.509812486,4.5,,,,,,,,,,,0.453316184,,,,,,,,,
1/1/2012,3.884085333,1.634327828,2.477702726,3.003225327,-2.739777163,5.170767237,4.5,,,,,,,,,,,,,,,,,,,,
4/1/2012,4.005001189,1.804398107,2.452268579,2.983452525,-2.97353593,2.862400838,4.5,,,,,,,,,,,,,,,,,,,,
7/1/2012,4.141510615,1.884666733,2.519704716,2.841131315,-3.29097859,3.054891338,4.5,,,,,,,,,,,,,,,,,,,,
10/1/2012,3.975766416,2.039036649,2.221121094,2.708292571,-2.748809533,2.004113055,4.5,,,,,,,,,,,,,,,,,,,,
1/1/2013,4.294939793,2.001755904,2.572375545,2.637216868,-2.882361428,3.894947974,4.366666667,,,,,,,,,,,,,,,,,,,,
4/1/2013,3.875623463,1.984758494,2.167685939,1.580580552,-2.747274129,2.532650297,4,,,,,,,,,,,,,,,,,,,,
7/1/2013,3.472594482,2.0873547,1.676370191,1.513278992,-2.000652678,1.408782329,3.932065217,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2013,3.64087113,2.068004753,1.861297984,1.686346389,-2.67883107,2.576328724,3.565217391,lambda_g,0.282551086,,,-237.763373,,,,,,,,,,,,,,,
1/1/2014,4.832592987,1.900605132,3.197071672,2.734002004,-4.369230688,5.628789451,3.5,lambda_z,0.278893207,,,,,,,,,,,,,,,,,,
4/1/2014,4.467168529,2.052536309,2.700906391,2.925697178,-4.169007713,2.644005685,3.362637363,,,,,,,,,,,,,,,,,,,,
7/1/2014,4.160010289,2.068944767,2.379628236,2.519582888,-4.475626616,2.413341446,3,,,,,,,,,,,,,,,,,,,,
10/1/2014,3.965510321,2.139444207,2.124461622,2.796033298,-4.260608297,2.494255325,3,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/2015,3.392559403,2.203429338,1.496449797,2.410469261,-2.774735549,1.977102127,3,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/2015,3.607958265,2.267712857,1.656530979,2.881691113,-2.932081394,2.411793619,3,1650.527609,1649.971137,1649.414926,0.556471877,0.556210922,0.556125582,0,0,0,,,,,,,,,,,
7/1/2015,3.858855072,2.370641418,1.818855018,3.154235215,-3.193227501,2.454338647,3,,,,,,,,,,,,,,,,,,,,
10/1/2015,4.01411158,2.325959795,2.012561253,2.558944909,-3.386009027,2.807398871,3.04076087,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/2016,4.349128274,2.304006173,2.366469623,2.750372629,-3.556866591,3.124455098,3.491758242,0.555355815,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2016,4.564351831,2.279333517,2.602924657,2.774690604,-3.720346668,3.259764751,3.755494505,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/2016,4.469396538,2.340869749,2.455015798,2.833276629,-3.208739702,2.809232195,4.260869565,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/2016,5.236074284,2.359948463,3.205275804,3.604749891,-3.424360538,3.907519057,5.086956522,0.2,0,0,0.212402849,0.2,0,0,0,0,,,,,,,,,,,
1/1/2017,7.554190219,2.182880475,5.675763456,5.009799798,-5.711041454,6.806444494,6.038888889,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2017,7.943262346,2.192940017,6.056179079,4.881193913,-6.081777894,5.613284032,6.645604396,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
7/1/2017,6.500974308,2.272392771,4.545519831,3.074916049,-4.418609747,3.343294173,7,0,0,0,0,0,0,3.078925365,0.2,0,,,,,,,,,,,
10/1/2017,6.006244215,2.412309974,3.930387259,3.194301197,-3.799517813,3.605723869,7.048913043,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
1/1/2018,6.1788237,2.490141896,4.035990304,3.465864105,-3.057806746,4.531407887,7.394444444,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
4/1/2018,5.167192541,2.577110083,2.949520704,2.027450327,-1.303960443,3.176535792,7.527472527,,,,,,,,,,,,,,,,,,,,
7/1/2018,4.965834269,2.616142466,2.714574027,1.418146844,-0.859582627,3.261325887,7.75,,,,,,,,,,,,,,,,,,,,
