Date,rstar,g,z,output gap,real rate gap,inflation,interest,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
10/1/1996,3.596169923,3.603279883,0.008555196,3.306098101,2.79628286,7.87534598,16.02,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
1/1/1997,3.569254446,3.573241029,0.011547979,0.931031517,1.755607617,10.07459426,15.17333333,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
4/1/1997,4.538694246,4.368580527,0.189105997,9.763625963,-0.636272933,9.554595481,12.8,0.17231448,0.148494481,-0.198869691,0.795288824,0.025,5.994000354,1.156711978,0.714503779,0,0.995652529,0.32080896,,,,,,,,,
7/1/1997,4.802075873,4.609014743,0.213098689,2.909489043,-2.913633678,6.915028835,10.49333333,,,,,,,,,,,,,,,,,,,,
10/1/1997,4.996038181,4.789346883,0.227512846,3.083907111,-0.267461946,5.528143153,12.74666667,,,,,,,,,,,,,,,,,,,,
1/1/1998,4.535548339,4.443833351,0.111034426,-2.472494671,2.917431054,6.270314959,14.52,,,,,,,,,,,0.511604463,,,,,,,,,
4/1/1998,4.748556181,4.588763621,0.179742078,1.715003168,5.19215299,6.910343036,16.34666667,,,,,,,,,,,0.233736086,,,,,,,,,
7/1/1998,4.714051206,4.560459086,0.173418584,-1.140212092,17.44065038,6.925725844,28.56333333,,,,,,,,,,,,,,,,,,,,
10/1/1998,4.710364414,4.506056927,0.22389744,-1.737369891,4.585489036,8.283535696,16.39333333,,,,,,,,,,,,,,,,,,,,
1/1/1999,4.252062981,4.189698721,0.080578855,-6.649841113,7.966099285,7.701079694,19.67333333,,,,,,,,,,,,,,,,,,,,
4/1/1999,4.517047004,4.433602613,0.102719351,-0.45018173,1.735108689,6.107702661,13.50666667,,,,,,,,,,,,,,,,,,,,
7/1/1999,4.182396407,4.359684288,-0.15833428,-5.640998798,-1.058685595,3.039505366,9.406666667,,,,,,,,,,,,,,,,,,,,
10/1/1999,4.214895737,4.360215704,-0.126364055,-0.790114043,8.254206109,4.208638229,17.73333333,,,,,,,,,,,,,,,,,,,,
1/1/2000,3.928239995,4.217002985,-0.270429692,-4.556185404,4.023002585,3.519183425,12.17,,,,,,,,,,,,,,,,,,,,
4/1/2000,4.139512077,4.362338108,-0.203860892,0.167766493,6.656125631,3.583455483,14.38333333,,,,,,,,,,,,,,,,,,,,
7/1/2000,3.708361343,4.10984648,-0.383617698,-6.367087099,3.736544459,2.949099654,11.01,,,,,,,,,,,,,,,,,,,,
10/1/2000,3.353922996,3.843934774,-0.473300382,-6.229397109,6.623222858,3.306344689,13.31666667,,,,,,,,,,,,,,,,,,,,
1/1/2001,2.657333381,3.42180438,-0.749594803,-10.87134972,4.962988457,2.456555092,10.69418557,,,,,,,,,,,,,,,,,,,,
4/1/2001,2.904417755,3.624552441,-0.704377049,-0.489664829,8.168798971,1.92345563,13.73208049,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
7/1/2001,2.658936671,3.566724202,-0.892281301,-5.220850489,1.854010032,0.811941651,6.637520969,lambda_g,0.089635523,,,-539.0498775,,,,,,,,,,,,,,,
10/1/2001,2.511164235,3.482425159,-0.95612118,-3.718501432,-0.29828534,0.850118649,3.723396651,lambda_z,0.038680205,,,,,,,,,,,,,,,,,,
1/1/2002,2.089673561,3.196164519,-1.092595725,-7.097086871,-0.61049646,0.897775664,2.6,,,,,,,,,,,,,,,,,,,,
4/1/2002,2.475412696,3.428508272,-0.938190235,3.287740573,-0.862850936,1.12325033,2.533333333,,,,,,,,,,,,,,,,,,,,
7/1/2002,2.322820936,3.263548639,-0.926539519,-3.262379681,0.27901186,1.708681059,3.746789221,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
10/1/2002,2.230364115,3.20001683,-0.955740734,-1.218427566,0.584573352,1.463861091,4.113329504,Initial State Vector,,,,,,,,,,,,,,,,,,,
1/1/2003,1.912623997,3.058270641,-1.1323509,-4.227019726,0.630902715,0.690100671,3.79,1079.932338,1079.059909,1078.187582,0.87242925,0.872326319,0.872267456,0,0,0,,,,,,,,,,,
4/1/2003,2.350050218,3.339279269,-0.97471163,4.990942269,0.229370427,0.966341267,3.786666667,,,,,,,,,,,,,,,,,,,,
7/1/2003,2.068362772,3.233860806,-1.151438917,-2.787503885,0.130813601,0.416324815,3.083333333,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
10/1/2003,1.952860555,3.148899554,-1.182349249,-1.499700388,0.012738361,0.491504248,2.606666667,0.914688693,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
1/1/2004,1.929795267,3.015516082,-1.072610946,-2.72395968,-0.260696995,1.32943658,2.47,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
4/1/2004,2.472145501,3.283964769,-0.797542325,5.783332749,-1.047503537,1.970833166,2.476666667,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
7/1/2004,2.183272551,3.214634325,-1.017386243,-1.637899385,-0.751503977,0.934485042,2.613333333,0.2,0,0,0.20413528,0.2,0,0,0,0,,,,,,,,,,,
10/1/2004,2.257262393,3.265408282,-0.99394962,1.849313707,-0.57836772,0.982999851,2.983333333,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
1/1/2005,2.156383185,3.196524243,-1.02624426,-1.298642063,-0.462655447,1.083437654,2.936666667,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
4/1/2005,2.68460045,3.488023588,-0.788259056,6.854738401,-0.845620377,1.683157162,3.01,0,0,0,0,0,0,1.575781412,0.2,0,,,,,,,,,,,
7/1/2005,2.413739157,3.489005544,-1.060098036,0.014981015,-0.505083396,0.562448957,2.986666667,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
10/1/2005,2.658673608,3.619749013,-0.945338651,4.130995359,-0.605711108,0.992439562,3.133333333,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
1/1/2006,2.894000895,3.604537164,-0.694865648,1.34717873,-0.398955663,2.141773393,3.84,,,,,,,,,,,,,,,,,,,,
4/1/2006,3.235477322,3.920779792,-0.668256993,7.40704924,-0.096971005,1.655979488,4.476666667,,,,,,,,,,,,,,,,,,,,
7/1/2006,3.055415542,3.992491662,-0.919718877,1.95802841,0.052133906,0.712943099,4.483333333,,,,,,,,,,,,,,,,,,,,
10/1/2006,3.328947546,4.15054933,-0.803557391,4.919705645,-0.256163807,1.184835733,4.496666667,,,,,,,,,,,,,,,,,,,,
1/1/2007,3.445355686,4.082808241,-0.619702663,0.319583623,-0.375372698,2.112976396,4.486666667,,,,,,,,,,,,,,,,,,,,
4/1/2007,3.913598203,4.377818144,-0.445187502,7.391772745,-0.964493966,2.219494493,4.506666667,,,,,,,,,,,,,,,,,,,,
7/1/2007,4.254644164,4.563661254,-0.289176704,5.544870969,-1.464285014,2.561256778,4.81,,,,,,,,,,,,,,,,,,,,
10/1/2007,5.105506652,4.791664125,0.334674149,8.690083735,-2.944961827,4.410759698,4.986666667,,,,,,,,,,,,,,,,,,,,
1/1/2008,5.163018109,4.770116407,0.413639645,2.527770532,-3.690012721,4.476467482,4.89,,,,,,,,,,,,,,,,,,,,
4/1/2008,5.982215728,5.064796032,0.939438751,9.875052555,-4.730828322,5.651113084,5.526286667,,,,,,,,,,,,,,,,,,,,
7/1/2008,6.298308568,5.251840099,1.069300693,6.979557175,-5.187851472,5.752020685,6.183047333,,,,,,,,,,,,,,,,,,,,
10/1/2008,6.655356908,5.409254055,1.26961943,7.31338826,-5.617388046,6.211189969,6.560666667,,,,,,,,,,,,,,,,,,,,
1/1/2009,6.055849219,5.201095987,0.877364847,-1.962841717,-5.401776418,5.212057712,6.360668163,,,,,,,,,,,,,,,,,,,,
4/1/2009,5.492580846,5.321537691,0.194178387,2.489693409,-6.336681358,3.167053682,4.24148,,,,,,,,,,,,,,,,,,,,
7/1/2009,4.808538189,5.388305083,-0.556341393,0.504954155,-7.243625014,1.514179269,1.591033333,,,,,,,,,,,,,,,,,,,,
10/1/2009,4.576149338,5.528426228,-0.928242216,3.528368611,-6.102484849,1.030801183,1.204687451,,,,,,,,,,,,,,,,,,,,
1/1/2010,4.457163901,5.280360626,-0.800240508,-2.805711906,-5.274188231,2.153236518,1.149293333,,,,,,,,,,,,,,,,,,,,
4/1/2010,4.872842342,5.4467302,-0.550208355,5.316914134,-5.263612858,2.579265096,1.4286,,,,,,,,,,,,,,,,,,,,
7/1/2010,4.72415311,5.569317203,-0.820951647,3.303376384,-4.243486038,1.671362248,2.339333333,,,,,,,,,,,,,,,,,,,,
10/1/2010,4.929003926,5.725867326,-0.771970356,5.489237328,-4.015586409,1.806332739,2.965966667,,,,,,,,,,,,,,,,,,,,
1/1/2011,4.967419014,5.524321787,-0.532885943,-1.319664822,-3.756082635,2.799294402,3.4254,,,,,,,,,,,,,,,,,,,,
