Date,rstar,g,z,output gap,real rate gap,inflation,interest,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
10/1/1996,3.598429124,3.613644069,0.006134188,3.29443989,2.794023659,7.87534598,16.02,11.4737751,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
1/1/1997,3.57816431,3.590766138,0.008612144,0.907534533,1.746697753,10.07459426,15.17333333,13.65275857,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
4/1/1997,4.490252717,4.402319213,0.113942068,9.698461067,-0.587831404,9.554595481,12.8,14.0448482,,0.150991673,0.127994641,-0.195502,0.800045059,0.025,5.990664969,1.164348939,0.723311332,0,0.994092077,0.278986314,,,,,,,,,
7/1/1997,4.75622772,4.654004787,0.129718437,2.813251943,-2.867785526,6.915028835,10.49333333,11.67125655,,,,,,,,,,,,,,,,,,,,,
10/1/1997,4.958342464,4.846508773,0.140466494,2.950156268,-0.22976623,5.528143153,12.74666667,10.48648562,,,,,,,,,,,,,,,,,,,,,
1/1/1998,4.544482327,4.497106567,0.073944322,-2.606372568,2.908497066,6.270314959,14.52,10.81479729,,,,,,,,,,,,,,,,,,,,,
4/1/1998,4.721969434,4.637472652,0.111894616,1.576837626,5.218739737,6.910343036,16.34666667,11.63231247,,,,,,,,,,,,,,,,,,,,,
7/1/1998,4.67805976,4.599072618,0.106158111,-1.263158244,17.47664183,6.925725844,28.56333333,11.6037856,,,,,,,,,,,,,0.392029413,,,,,,,,
10/1/1998,4.64860149,4.541882805,0.133551781,-1.862659934,4.64725196,8.283535696,16.39333333,12.93213719,,,,,,,,,,,,,0.176296183,,,,,,,,
1/1/1999,4.23765089,4.212208199,0.050328095,-6.74035579,7.980511376,7.701079694,19.67333333,11.93873058,,,,,,,,,,,,,0.521190496,,,,,,,,
4/1/1999,4.46691759,4.43529145,0.057829502,-0.477721744,1.785238103,6.107702661,13.50666667,10.57462025,,,,,,,,,,,,,,,,,,,,,
7/1/1999,4.218313715,4.336532402,-0.092598786,-5.578649107,-1.094602903,3.039505366,9.406666667,7.257819082,,,,,,,,,,,,,,,,,,,,,
10/1/1999,4.232741514,4.333383608,-0.075040796,-0.709059697,8.236360332,4.208638229,17.73333333,8.441379742,,,,,,,,,,,,,,,,,,,,,
1/1/2000,4.000807131,4.181919523,-0.156405932,-4.43701119,3.950435449,3.519183425,12.17,7.519990556,,,,,,,,,,,,,,,,,,,,,
4/1/2000,4.178579186,4.324641923,-0.120513085,0.308181428,6.617058522,3.583455483,14.38333333,7.762034669,,,,,,,,,,,,,,,,,,,,,
7/1/2000,3.825283192,4.069280658,-0.219956468,-6.209834,3.619622611,2.949099654,11.01,6.774382846,,,,,,,,,,,,,,,,,,,,,
10/1/2000,3.512863104,3.803675324,-0.268340397,-6.072071939,6.46428275,3.306344689,13.31666667,6.819207793,,,,,,,,,,,,,,,,,,,,,
1/1/2001,2.929439317,3.370986386,-0.421631539,-10.67277593,4.69088252,2.456555092,10.69418557,5.385994409,,,,,,,,,,,,,,,,,,,,,
4/1/2001,3.138857402,3.561077952,-0.401181974,-0.21397271,7.934359324,1.92345563,13.73208049,5.062313033,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
7/1/2001,2.96531925,3.49308102,-0.507124915,-4.88238778,1.547627453,0.811941651,6.637520969,3.777260902,,lambda_g,0.089635523,,,-538.9490966,,,,,,,,,,,,,,,
10/1/2001,2.849368789,3.410703718,-0.541184753,-3.373943947,-0.636489894,0.850118649,3.723396651,3.699487438,,lambda_z,0.029343065,,,,,,,,,,,,,,,,,,
1/1/2002,2.491400601,3.124103968,-0.6142464,-6.751511763,-1.012223499,0.897775664,2.6,3.389176265,,,,,,,,,,,,,,,,,,,,,
4/1/2002,2.807579156,3.358868358,-0.531445265,3.654629093,-1.195017396,1.12325033,2.533333333,3.930829486,,,,,,,,,,,,,,,,,,,,,
7/1/2002,2.65970481,3.201007375,-0.522391258,-2.927044465,-0.057872015,1.708681059,3.746789221,4.36838587,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
10/1/2002,2.590189696,3.145683704,-0.53690955,-0.910115311,0.224747772,1.463861091,4.113329504,4.054050787,,Initial State Vector,,,,,,,,,,,,,,,,,,,
1/1/2003,2.351558037,3.0028813,-0.633582469,-3.907087839,0.191968675,0.690100671,3.79,3.041658708,,1079.932338,1079.059909,1078.187582,0.87242925,0.872326319,0.872267456,0,0,0,,,,,,,,,,,
4/1/2003,2.720846797,3.289835281,-0.549552389,5.321418572,-0.141426152,0.966341267,3.786666667,3.687188064,,,,,,,,,,,,,,,,,,,,,
7/1/2003,2.522439559,3.186998006,-0.645729907,-2.459343925,-0.323263187,0.416324815,3.083333333,2.938764374,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
10/1/2003,2.430843367,3.109693155,-0.660477959,-1.203731612,-0.465244451,0.491504248,2.606666667,2.922347615,,0.911323785,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
1/1/2004,2.365734332,2.98088019,-0.597535046,-2.46309188,-0.69663606,1.32943658,2.47,3.695170913,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
4/1/2004,2.790002899,3.258446471,-0.44919292,6.028629076,-1.365360934,1.970833166,2.476666667,4.760836064,,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
7/1/2004,2.601242369,3.19072435,-0.570631426,-1.389063517,-1.169473795,0.934485042,2.613333333,3.535727411,,0.2,0,0,0.204108245,0.2,0,0,0,0,,,,,,,,,,,
10/1/2004,2.673372667,3.2500706,-0.557496764,2.070049053,-0.994477994,0.982999851,2.983333333,3.656372518,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
1/1/2005,2.590585563,3.183547073,-0.574153358,-1.09232049,-0.896857825,1.083437654,2.936666667,3.674023217,,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
4/1/2005,3.018563047,3.485487158,-0.44633212,7.04036404,-1.179582974,1.683157162,3.01,4.701720209,,0,0,0,0,0,0,0.97607845,0.2,0,,,,,,,,,,,
7/1/2005,2.869214237,3.487508281,-0.597690112,0.215846019,-0.960558476,0.562448957,2.986666667,3.431663194,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
10/1/2005,3.07303929,3.629369909,-0.534888579,4.291492211,-1.020076791,0.992439562,3.133333333,4.065478852,,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
1/1/2006,3.207443199,3.623585978,-0.394734911,1.441050899,-0.712397967,2.141773393,3.84,5.349216591,,,,,,,,,,,,,,,,,,,,,
4/1/2006,3.538810153,3.947839678,-0.38570599,7.502726946,-0.400303836,1.655979488,4.476666667,5.194789641,,,,,,,,,,,,,,,,,,,,,
7/1/2006,3.471190833,4.021762842,-0.526811743,2.066575182,-0.363641384,0.712943099,4.483333333,4.184133932,,,,,,,,,,,,,,,,,,,,,
10/1/2006,3.701927899,4.190223985,-0.463540564,4.987274564,-0.62914416,1.184835733,4.496666667,4.886763632,,,,,,,,,,,,,,,,,,,,,
1/1/2007,3.745543465,4.129100271,-0.359162397,0.322404444,-0.675560477,2.112976396,4.486666667,5.858519861,,,,,,,,,,,,,,,,,,,,,
4/1/2007,4.138245396,4.431958195,-0.267529129,7.375784183,-1.189141159,2.219494493,4.506666667,6.357739889,,,,,,,,,,,,,,,,,,,,,
7/1/2007,4.413949632,4.625266948,-0.183991593,5.495356293,-1.623590482,2.561256778,4.81,6.97520641,,,,,,,,,,,,,,,,,,,,,
10/1/2007,5.005445328,4.873287437,0.1609489,8.514910152,-2.844900503,4.410759698,4.986666667,9.416205026,,,,,,,,,,,,,,,,,,,,,
1/1/2008,5.036196452,4.859409213,0.205496257,2.287096282,-3.563191064,4.476467482,4.89,9.512663933,,,,,,,,,,,,,,,,,,,,,
4/1/2008,5.632329734,5.168641249,0.494224422,9.543780195,-4.380942328,5.651113084,5.526286667,11.28344282,,,,,,,,,,,,,,,,,,,,,
7/1/2008,5.893788382,5.361885865,0.563580128,6.610198331,-4.783331286,5.752020685,6.183047333,11.64580907,,,,,,,,,,,,,,,,,,,,,
10/1/2008,6.170966502,5.529288278,0.674344836,6.876837781,-5.13299764,6.211189969,6.560666667,12.38215647,,,,,,,,,,,,,,,,,,,,,
1/1/2009,5.743468872,5.314668034,0.46019949,-2.395397883,-5.089396071,5.212057712,6.360668163,10.95552658,,,,,,,,,,,,,,,,,,,,,
4/1/2009,5.464635752,5.419726556,0.076928525,2.178219821,-6.308736264,3.167053682,4.24148,8.631689434,,,,,,,,,,,,,,,,,,,,,
7/1/2009,5.091191735,5.466092065,-0.342607076,0.34034314,-7.526278559,1.514179269,1.591033333,6.605371004,,,,,,,,,,,,,,,,,,,,,
10/1/2009,5.0128276,5.596674433,-0.550782109,3.443229789,-6.539163111,1.030801183,1.204687451,6.043628783,,,,,,,,,,,,,,,,,,,,,
1/1/2010,4.841204865,5.344751407,-0.47197016,-2.937612805,-5.658229195,2.153236518,1.149293333,6.994441382,,,,,,,,,,,,,,,,,,,,,
4/1/2010,5.143258215,5.51107603,-0.3352588,5.170543011,-5.534028732,2.579265096,1.4286,7.722523312,,,,,,,,,,,,,,,,,,,,,
7/1/2010,5.102543638,5.626538883,-0.490754084,3.216333064,-4.621876566,1.671362248,2.339333333,6.773905887,,,,,,,,,,,,,,,,,,,,,
10/1/2010,5.286797827,5.786483855,-0.465499924,5.390998681,-4.373380311,1.806332739,2.965966667,7.093130566,,,,,,,,,,,,,,,,,,,,,
1/1/2011,5.228290089,5.587165221,-0.325866588,-1.494906012,-4.01695371,2.799294402,3.4254,8.027584491,,,,,,,,,,,,,,,,,,,,,
4/1/2011,5.796890994,5.640888424,0.189328507,4.256703798,-4.438262549,4.927696832,4.1598,10.72458783,,,,,,,,,,,,,,,,,,,,,
7/1/2011,5.697636606,5.748015439,-0.016419998,2.792807171,-4.693482467,3.465526139,4.253866667,9.163162745,,,,,,,,,,,,,,,,,,,,,
10/1/2011,5.847495636,5.913979397,-0.031544424,5.088610743,-5.214184985,3.295573358,4.255333333,9.143068994,,,,,,,,,,,,,,,,,,,,,
1/1/2012,5.606276048,5.730908211,-0.090774396,-1.87399697,-5.137201874,3.377840311,4.235733333,8.984116359,,,,,,,,,,,,,,,,,,,,,
4/1/2012,5.983377229,5.784082579,0.233466567,3.580701338,-5.477211332,4.789596605,4.2383,10.77297383,,,,,,,,,,,,,,,,,,,,,
7/1/2012,5.713516529,5.926332774,-0.177803924,2.916015767,-5.036942223,2.762559168,4.232966667,8.476075697,,,,,,,,,,,,,,,,,,,,,
10/1/2012,5.658377151,6.058702586,-0.364531084,3.892757669,-4.692282795,2.180293158,4.243666667,7.838670309,,,,,,,,,,,,,,,,,,,,,
1/1/2013,5.602941996,5.779108354,-0.142023828,-3.127549503,-4.756179291,3.671166914,4.197666667,9.274108911,,,,,,,,,,,,,,,,,,,,,
4/1/2013,6.0175348,5.843770246,0.208289101,3.486850353,-5.152435479,4.879183478,4.2384,10.89671828,,,,,,,,,,,,,,,,,,,,,
7/1/2013,5.855913691,5.931174236,-0.040219622,2.127957826,-5.045535336,3.516776363,4.372233333,9.372690054,,,,,,,,,,,,,,,,,,,,,
10/1/2013,5.840629136,6.095778931,-0.2191364,4.483707803,-5.376534106,2.769559792,4.173266667,8.610188928,,,,,,,,,,,,,,,,,,,,,
1/1/2014,5.672826751,5.775132107,-0.068186317,-4.162956826,-5.344108602,3.930407768,4.1027,9.603234519,,,,,,,,,,,,,,,,,,,,,
