Date,rstar,g,z,output gap,real rate gap,fed results,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/1961,5.313167869,5.087663904,0.008055261,-3.961401088,-3.588855667,5.468562629,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/1961,5.599076634,5.353808781,0.016444016,-3.784013793,-3.823752287,5.695237634,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,,,,
7/1/1961,5.495287919,5.251513174,0.019323062,-3.050453642,-3.763385313,5.598410609,,1.465746137,-0.53152235,-0.060696674,0.693195503,0.090231281,0.424630616,0.832390664,0.524056667,-0.112937418,1.042740383,8.023230895,1.562420943,1.933856755,0.934223787,,,,,,
10/1/1961,5.441845603,5.2036628,0.015776263,-2.367186288,-3.620550099,5.564850946,,,,,,,,,,,,,,,,,,,,,
1/1/1962,5.218203843,4.987301097,0.017743588,-1.478901213,-3.598121111,5.373550434,,,,,,,,,,,,,,,,,,,,,
4/1/1962,4.673646672,4.47313463,0.009328555,-0.782728889,-3.111188788,4.836682097,,,,,,,,,,0.993857446,,,,,,,,,,,
7/1/1962,4.555645899,4.363860299,0.005272541,-0.443734323,-2.885775524,4.724644037,,,,,,,,,,,,,,,,,,,,,
10/1/1962,4.123638441,3.966814837,-0.012719581,-0.272593073,-2.401461963,4.27379954,,,,,,,,,,,,,,,,,,,,,
1/1/1963,4.103863045,3.941943363,-0.006560487,-0.077494401,-2.342077072,4.258196005,,,,,,,,,,0.071980734,,,,,,,,,,,
4/1/1963,4.071595457,3.907529913,-0.002943781,0.174617496,-2.30299729,4.225529538,,,,,,,,,,,,,,,,,,,,,
7/1/1963,4.373958073,4.186879674,0.008129558,0.520212553,-2.249135532,4.55195115,,,,,,,,,,,,,,,,,,,,,
10/1/1963,4.118575938,3.939677074,0.010515557,0.98614504,-2.204992096,4.282235465,,,,,,,,,,,,,,,,,,,,,
1/1/1964,4.392356871,4.197863339,0.015075245,1.173169866,-2.572621562,4.585086376,,,,,,,,,,,,,,,,,,,,,
4/1/1964,4.316880138,4.142828753,-0.003014702,1.340404397,-2.414407242,4.502513095,,,,,,,,,,,,,,,,,,,,,
7/1/1964,4.403086925,4.23177311,-0.009553789,1.476274332,-2.392257619,4.601071646,,,,,,,,,,,,,,,,,,,,,
10/1/1964,4.177078617,4.034017861,-0.029354712,1.463243445,-1.730277746,4.348929825,,,,,,,,,,,,,,,,,,,,,
1/1/1965,4.506550964,4.328810107,-0.007274145,1.674267605,-1.742452605,4.725019595,,,,,,,,,,,,,,,,,,,,,
4/1/1965,4.480163259,4.313548857,-0.017748329,1.87540667,-1.627010217,4.696381588,,,,,,,,,,,,,,,,,,,,,
7/1/1965,4.693926791,4.513689783,-0.012679822,2.109918528,-1.876317396,4.947055757,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/1965,4.876058362,4.682743234,-0.006827111,2.497092602,-2.046101896,5.161980728,,lambda_g,0.050738102,,,-613.9545654,,,,,,,,,,,,,,,
1/1/1966,5.067243003,4.840386988,0.019976022,3.078341808,-1.96920381,5.388062843,,lambda_z,0.018566708,,,,,,,,,,,,,,,,,,
4/1/1966,4.851136684,4.60147277,0.052995205,3.476236488,-1.911753671,5.131316453,,,,,,,,,,,,,,,,,,,,,
7/1/1966,4.839146603,4.580670357,0.062696641,3.303920113,-1.927054947,5.116349992,,,,,,,,,,,,,,,,,,,,,
10/1/1966,4.825633553,4.560654484,0.07005495,3.099914612,-2.301469191,5.096088036,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/1967,4.7953323,4.587594952,0.011661783,2.517449276,-3.061482527,5.063066113,,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/1967,4.616530145,4.43202029,-0.004916389,2.177261299,-3.568021478,4.842518473,,818.3241166,817.1633261,816.00263,1.160790501,1.160696108,1.160648899,0,0,0,,,,,,,,,,,
7/1/1967,4.643474195,4.427399639,0.026845801,2.132983215,-3.776721893,4.86524626,,,,,,,,,,,,,,,,,,,,,
10/1/1967,4.595207327,4.363431388,0.045281211,2.167885169,-3.597512167,4.796853284,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/1968,4.78192475,4.496590533,0.093148215,2.535041474,-3.772362128,5.016866998,,0.672837199,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/1968,4.834611404,4.533104121,0.107760677,2.915848204,-3.139306091,5.078479119,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/1968,4.723228835,4.447668163,0.085465632,2.94787029,-3.28090249,4.94536228,,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/1968,4.597380576,4.340035231,0.071850577,2.769671534,-3.345076643,4.794062551,,0.2,0,0,0.20070238,0.2,0,0,0,0,,,,,,,,,,,
1/1/1969,4.690317362,4.446514129,0.053757516,2.610009413,-2.739111503,4.919216167,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/1969,4.539432324,4.308550657,0.046732562,2.533124591,-0.862978604,4.730280359,,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
7/1/1969,4.494192298,4.28532589,0.025709937,2.184435557,-0.198226081,4.684905568,,0,0,0,0,0,0,0.21594084,0.2,0,,,,,,,,,,,
10/1/1969,4.266355711,4.093077376,-0.00166136,1.606193308,-0.024594671,4.41042971,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
1/1/1970,4.139757502,4.008168624,-0.039721783,0.802502261,-0.260661081,4.269062326,,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
4/1/1970,4.073586216,3.951197669,-0.046487154,0.239200557,-0.813604405,4.19466209,,,,,,,,,,,,,,,,,,,,,
7/1/1970,4.113626117,3.991862971,-0.048850606,-0.062258934,-1.991028953,4.254491104,,,,,,,,,,,,,,,,,,,,,
