Date,rstar,g,z,output gap,real rate gap,fed results,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/1961,5.369448091,5.051193451,0.00739622,-3.928075552,-3.645135889,5.468562629,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/1961,5.639172664,5.297870506,0.015262842,-3.72120087,-3.863848317,5.695237634,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,,,,
7/1/1961,5.53917194,5.201166193,0.017917767,-2.985071426,-3.807269334,5.598410609,,1.452326526,-0.516632098,-0.063299864,0.692407041,0.085138531,0.439795912,0.829192896,0.513047362,-0.132198513,1.061541579,6.041605471,1.880572424,2.389887023,0.935694427,,,,,,
10/1/1961,5.493348051,5.161286816,0.014427495,-2.302102218,-3.672052547,5.564850946,,,,,,,,,,,,,,,,,,,,,
1/1/1962,5.279122788,4.957806297,0.016205263,-1.431688959,-3.659040056,5.373550434,,,,,,,,,,,,,,,,,,,,,
4/1/1962,4.73532275,4.453777109,0.007453165,-0.757964828,-3.172864867,4.836682097,,,,,,,,,,,,,,,,,,,,,
7/1/1962,4.620370984,4.349334695,0.003371365,-0.426902646,-2.950500608,4.724644037,,,,,,,,,,,,,,,,,,,,,
10/1/1962,4.182177528,3.953729498,-0.014870725,-0.262325219,-2.46000105,4.27379954,,,,,,,,,,,,,,,,,,,,,
1/1/1963,4.163259428,3.93024854,-0.008862812,-0.069455216,-2.401473455,4.258196005,,,,,,,,,,,0.994532409,,,,,,,,,,
4/1/1963,4.128335226,3.894109637,-0.005424066,0.189016641,-2.359737059,4.225529538,,,,,,,,,,,,,,,,,,,,,
7/1/1963,4.434819371,4.172121263,0.005939177,0.549412501,-2.30999683,4.55195115,,,,,,,,,,,,,,,,,,,,,
10/1/1963,4.170558847,3.921477697,0.007747221,1.021810621,-2.256975005,4.282235465,,,,,,,,,,,,,,,,,,,,,
1/1/1964,4.451159187,4.181004678,0.01284888,1.218123537,-2.631423878,4.585086376,,,,,,,,,,,,,,,,,,,,,
4/1/1964,4.372155604,4.123601575,-0.005218922,1.397219504,-2.469682709,4.502513095,,,,,,,,,,,,,,,,,,,,,
7/1/1964,4.460547072,4.212763978,-0.011477053,1.541438213,-2.449717766,4.601071646,,,,,,,,,,,,,,,,,,,,,
10/1/1964,4.22846924,4.013079709,-0.031581731,1.532122972,-1.781668368,4.348929825,,,,,,,,,,,,,,,,,,,,,
1/1/1965,4.566487796,4.310116145,-0.008879701,1.754250395,-1.802389437,4.725019595,,,,,,,,,,,,,,,,,,,,,
4/1/1965,4.537218268,4.292445502,-0.019391108,1.969591653,-1.684065227,4.696381588,,,,,,,,,,,,,,,,,,,,,
7/1/1965,4.756708864,4.493951287,-0.013807281,2.215872731,-1.939099468,4.947055757,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/1965,4.94239729,4.663002174,-0.007573401,2.619276284,-2.112440824,5.161980728,,lambda_g,0.053167424,,,-614.4554739,,,,,,,,,,,,,,,
1/1/1966,5.136834615,4.820613858,0.019552569,3.21728231,-2.038795422,5.388062843,,lambda_z,0.018731348,,,,,,,,,,,,,,,,,,
4/1/1966,4.911811875,4.578086095,0.051983134,3.619856189,-1.972428862,5.131316453,,,,,,,,,,,,,,,,,,,,,
7/1/1966,4.900637789,4.558149035,0.061973066,3.448932248,-1.988546133,5.116349992,,,,,,,,,,,,,,,,,,,,,
